Origin,grouping,rows,MAE,MedianAE,RMSE,target_median,prediction_median,scheduled_month
DAD,Origin,2032,8.930922393007082,3.134344875350018,22.852837441249942,0.0,3.554300050489079,
HAN,Origin,4478,13.68260402520927,7.735148199876146,29.89517669489303,19.0,19.219426138059056,
SGN,Origin,5938,14.679885320946061,8.772002000741281,28.974035815297476,23.0,25.218857583713728,
,scheduled_month,12448,13.382671446276929,7.458324559247821,28.411542385111453,19.0,20.619388499263177,2026-03
DAD,Origin+scheduled_month,2032,8.930922393007082,3.134344875350018,22.852837441249942,0.0,3.554300050489079,2026-03
HAN,Origin+scheduled_month,4478,13.68260402520927,7.735148199876146,29.89517669489303,19.0,19.219426138059056,2026-03
SGN,Origin+scheduled_month,5938,14.679885320946061,8.772002000741281,28.974035815297476,23.0,25.218857583713728,2026-03
