Airport,rain_rate_pct,thunderstorm_rate_pct,low_visibility_rate_pct,crosswind_max,headwind_max,risk_mean
DAD,40.35326086956522,25.860507246376812,0.4076086956521739,20.78,24.44,0.26313405797101447
HAN,17.255434782608695,14.08514492753623,0.0,26.68,19.17,0.14130434782608695
SGN,10.82427536231884,5.978260869565218,0.22644927536231885,18.8,8.95,0.06521739130434782
