,target_definition,positive_count,negative_count,positive_rate_pct,negative_to_positive_ratio
0,Risk > 0,1017,5607,15.353260869565217,5.513274336283186
1,Risk >= 2,19,6605,0.28683574879227053,347.63157894736844
