,airport,hours,risk_mean,Is_Radiation_Fog_Risk_hours,Is_Radiation_Fog_Risk_rate_pct,Is_Low_Ceiling_Risk_hours,Is_Low_Ceiling_Risk_rate_pct,Is_Severe_Convection_Risk_hours,Is_Severe_Convection_Risk_rate_pct,Forced_Runway_Swap_Risk_hours,Forced_Runway_Swap_Risk_rate_pct
0,DAD,2208,1.4456521739130435,438,19.83695652173913,484,21.920289855072465,20,0.9057971014492754,49,2.2192028985507246
1,HAN,2208,0.9977355072463768,325,14.719202898550723,1144,51.81159420289855,0,0.0,1,0.04528985507246377
2,SGN,2208,0.2504528985507246,241,10.914855072463768,0,0.0,28,1.2681159420289856,20,0.9057971014492754
