Airport,visibility_min,visibility_p25,visibility_median,visibility_p75,visibility_max,capped_hours,total_hours,capped_rate_pct
SGN,3600.0,24140.0,24140.0,24140.0,24140.0,2120,2208,96.01449275362319
HAN,5040.0,24140.0,24140.0,24140.0,24140.0,2050,2208,92.84420289855072
DAD,3960.0,21800.0,24140.0,24140.0,24140.0,1377,2208,62.3641304347826
