Airport,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DAD,19.565217391304348,25.0,35.869565217391305,40.21739130434783,48.91304347826087,47.82608695652174,44.565217391304344,46.73913043478261,20.652173913043477,9.782608695652174,5.434782608695652,3.260869565217391,4.3478260869565215,5.434782608695652,5.434782608695652,3.260869565217391,3.260869565217391,2.1739130434782608,4.3478260869565215,3.260869565217391,6.521739130434782,7.608695652173914,13.043478260869565,20.652173913043477
HAN,2.1739130434782608,7.608695652173914,9.782608695652174,9.782608695652174,14.130434782608695,18.478260869565215,19.565217391304348,11.956521739130435,8.695652173913043,6.521739130434782,6.521739130434782,4.3478260869565215,4.3478260869565215,2.1739130434782608,1.0869565217391304,1.0869565217391304,2.1739130434782608,1.0869565217391304,1.0869565217391304,0.0,0.0,1.0869565217391304,1.0869565217391304,0.0
SGN,0.0,2.1739130434782608,2.1739130434782608,2.1739130434782608,3.260869565217391,6.521739130434782,5.434782608695652,3.260869565217391,1.0869565217391304,1.0869565217391304,1.0869565217391304,1.0869565217391304,2.1739130434782608,2.1739130434782608,2.1739130434782608,4.3478260869565215,3.260869565217391,3.260869565217391,2.1739130434782608,1.0869565217391304,0.0,1.0869565217391304,0.0,0.0
