,Weather_Delay_Risk_Score,Headwind_Kmh,Crosswind_Kmh,wind_speed
Weather_Delay_Risk_Score,1.0,0.22059094393518774,0.10361214915562088,0.18662856571451245
Headwind_Kmh,0.22059094393518774,1.0,0.07875030367891193,0.42340987687889187
Crosswind_Kmh,0.10361214915562088,0.07875030367891193,1.0,0.8043797137313957
wind_speed,0.18662856571451245,0.42340987687889187,0.8043797137313957,1.0
