Airport,rain_rate_pct,thunderstorm_rate_pct,low_visibility_rate_pct,crosswind_max,headwind_max,risk_mean
DAD,1.0,1.0,1.0,0.251269035532995,1.0,1.0
HAN,0.21779141104294478,0.40774487471526183,0.0,1.0,0.659780503550678,0.3844393592677346
SGN,0.0,0.0,0.5555555555555556,0.0,0.0,0.0
