feature,missing_rate_pct,zero_rate_pct,nunique,mean,p95,max
Visibility_Deficit_3SM_M,0.0,95.55679744679132,201,84.49848147375084,0.0,4748.03
Visibility_Deficit_5KM_M,0.0,95.31844410479468,209,92.3679798544294,0.0,4920.0
dew_point_2m,0.0,0.0,211,18.22968239753836,23.5,25.2
Dew_Point_Spread_C,0.0,0.11715672742208068,220,6.0888317319669545,15.5,24.7
Wind_Gust_Estimate_Kt,0.0,0.0,239,5.065705061305287,9.5,14.85
Wind_Kt,0.0,0.045112073202755204,244,4.353890209333486,8.91,14.85
lifted_index,0.0,0.7150600259899407,248,4.739141119991381,18.0,20.0
pressure,0.0,0.0,254,1013.0982992075088,1021.3,1028.6
cape,0.0,31.54680545923417,257,249.94000767578558,1420.0,3480.0
temperature,0.0,0.0,264,24.318514129505314,32.8,35.7
Arrival_Delay,0.0,85.02279169668527,301,2.0222799776459577,15.0,625.0
Accumulated_Delay,0.0,91.19304600758153,302,3.610420215595311,18.0,1260.0
Tailwind_Default_Runway_Kt,0.0,55.91136487587447,509,0.7447940667524021,3.28,7.34
Crosswind_Max_3H_Kt,0.0,0.0,911,3.964732323810422,8.4,14.41
Crosswind_Kt,0.0,0.3595499565712131,970,3.2119666843972827,7.72,14.41
Headwind_Kt,0.0,0.6430153717706153,1310,0.801654468451848,6.18,13.18
visibility,0.0,0.0,1659,18488.766824446702,33740.0,43180.0
Visibility_SM,0.0,0.0,1659,11.488381419212358,20.97,26.83
Tail_Stagnation_Duration,0.0,73.2404608164612,2296,122.71996848888021,554.0,4320.0
Turnaround_Slack_Min,0.0,73.2404608164612,3615,257.3053077384038,554.0,121015.0
