feature_set,candidate_count,used_count,missing_count,missing_features,leakage_overlap
F0_base,25,24,1,Airport,
F1_turnaround,29,28,1,Airport,
F2_lag,39,38,1,Airport,
F3_weather,51,50,1,Airport,
