Origin,grouping,rows,MAE,MedianAE,RMSE,target_median,prediction_median,scheduled_month
DAD,Origin,2032,8.303985288264002,2.7046742590758432,22.335705165867804,0.0,3.3696168742432278,
HAN,Origin,4478,13.304740483406835,7.146069118246789,29.911247060678217,19.0,19.218947957173235,
SGN,Origin,5938,14.493705647881065,8.572335543654827,28.867020121209162,23.0,25.868029822611803,
,scheduled_month,12448,13.055587253178507,7.161261914222319,28.298305759257353,19.0,20.912991339592544,2026-03
DAD,Origin+scheduled_month,2032,8.303985288264002,2.7046742590758432,22.335705165867804,0.0,3.3696168742432278,2026-03
HAN,Origin+scheduled_month,4478,13.304740483406835,7.146069118246789,29.911247060678217,19.0,19.218947957173235,2026-03
SGN,Origin+scheduled_month,5938,14.493705647881065,8.572335543654827,28.867020121209162,23.0,25.868029822611803,2026-03
