airport,P(next_bad | current_bad),P(next_bad | current_good),bad_hours,good_hours
DAD,0.8245810055865922,0.11890243902439024,895,1312
HAN,0.7285714285714285,0.063794068270845,420,1787
SGN,0.6307053941908713,0.045269582909460836,241,1966
