,Airport,_month,hours,risk_mean,risk_positive_rate_pct,risk_ge2_rate_pct,precip_mean,precip_sum,rain_rate_pct,thunderstorm_rate_pct,risk_index_vs_overall
0,DAD,2025-12,408,1.1838235294117647,66.91176470588235,51.225490196078425,0.2676470588235294,109.2,66.91176470588235,50.98039215686274,2.954652245223636
1,DAD,2026-01,744,0.4583333333333333,30.241935483870968,15.591397849462366,0.07513440860215054,55.9,29.838709677419356,15.188172043010754,1.1439336850037678
2,DAD,2026-02,672,0.47023809523809523,28.125,18.75,0.07380952380952381,49.6,27.976190476190478,18.303571428571427,1.173646248250619
3,DAD,2026-03,384,0.9192708333333334,54.166666666666664,33.33333333333333,0.25390625,97.5,54.166666666666664,33.07291666666667,2.2943669932177846
4,HAN,2025-12,408,0.28921568627450983,18.137254901960784,9.313725490196079,0.04068627450980392,16.6,16.42156862745098,9.313725490196079,0.7218405071146772
5,HAN,2026-01,744,0.3346774193548387,19.22043010752688,12.903225806451612,0.06989247311827956,52.0,15.725806451612904,12.903225806451612,0.8353064151493789
6,HAN,2026-02,672,0.44642857142857145,22.470238095238095,20.535714285714285,0.07678571428571429,51.6,22.470238095238095,20.535714285714285,1.114221121756917
7,HAN,2026-03,384,0.2552083333333333,13.541666666666666,10.416666666666668,0.04114583333333333,15.8,11.979166666666668,10.15625,0.6369630746043707
8,SGN,2025-12,408,0.2867647058823529,14.705882352941178,11.029411764705882,0.09877450980392158,40.300000000000004,14.705882352941178,11.029411764705882,0.7157232146815018
9,SGN,2026-01,744,0.07526881720430108,4.435483870967742,2.553763440860215,0.03776881720430108,28.1,4.435483870967742,2.553763440860215,0.18786007730267157
10,SGN,2026-02,672,0.23511904761904762,13.095238095238097,9.523809523809524,0.10625000000000001,71.4,12.797619047619047,9.375,0.5868231241253095
11,SGN,2026-03,384,0.16927083333333334,15.625,1.3020833333333335,0.05755208333333334,22.1,15.625,1.3020833333333335,0.4224755086661643
