Airport,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DAD,14.130434782608695,17.391304347826086,23.91304347826087,29.347826086956523,38.04347826086957,34.78260869565217,34.78260869565217,33.69565217391305,9.782608695652174,2.1739130434782608,2.1739130434782608,1.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,1.0869565217391304,0.0,1.0869565217391304,3.260869565217391,5.434782608695652,15.217391304347828
HAN,0.0,3.260869565217391,3.260869565217391,4.3478260869565215,7.608695652173914,9.782608695652174,5.434782608695652,3.260869565217391,2.1739130434782608,1.0869565217391304,3.260869565217391,0.0,1.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGN,0.0,1.0869565217391304,1.0869565217391304,2.1739130434782608,2.1739130434782608,5.434782608695652,4.3478260869565215,3.260869565217391,1.0869565217391304,1.0869565217391304,1.0869565217391304,0.0,1.0869565217391304,0.0,1.0869565217391304,2.1739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
