Airport,hours,risk_mean,risk_positive_rate_pct,risk_ge2_rate_pct,risk_max,precip_mean,precip_sum,rain_rate_pct,thunderstorm_rate_pct,low_visibility_rate_pct,crosswind_mean,crosswind_max,headwind_mean,headwind_max
DAD,2208,0.676177536231884,40.53442028985507,26.222826086956523,4,0.14139492753623187,312.2,40.35326086956522,25.860507246376812,0.4076086956521739,5.754950181159421,20.78,1.8891259057971013,24.44
HAN,2208,0.34646739130434784,19.021739130434785,14.130434782608695,4,0.06159420289855073,136.0,17.255434782608695,14.08514492753623,0.0,6.563600543478261,26.68,5.2851856884057975,19.17
SGN,2208,0.1793478260869565,10.914855072463768,6.023550724637681,6,0.07332427536231885,161.9,10.82427536231884,5.978260869565218,0.22644927536231885,4.991874999999999,18.8,-1.2216440217391304,8.95
