airport,hours,crosswind_mean_kt,crosswind_p95_kt,crosswind_max_kt,xwind_ge_10kt_hours,xwind_ge_10kt_rate_pct,xwind_ge_15kt_hours,xwind_ge_15kt_rate_pct,xwind_ge_20kt_hours,xwind_ge_20kt_rate_pct
DAD,2208,3.107377717391304,7.766500000000001,11.22,12,0.5434782608695652,0,0.0,0,0.0
HAN,2208,3.5440489130434782,9.233000000000002,14.41,71,3.2155797101449273,0,0.0,0,0.0
SGN,2208,2.695480072463768,6.306500000000001,10.15,1,0.04528985507246377,0,0.0,0,0.0
