,Airport,_wmo_group,hours,risk_mean,risk_ge1_rate_pct,risk_ge2_rate_pct,precip_mean_mm_h,visibility_median_m,airport_hours,group_rate_pct
3,DAD,rain,32,4.1875,100.0,96.875,2.225,3080.0,2208,1.4492753623188406
2,DAD,drizzle,859,2.4749708963911523,100.0,68.10244470314319,0.28055878928987193,7760.0,2208,38.903985507246375
1,DAD,cloudy,984,0.9014227642276422,36.78861788617886,19.51219512195122,0.0,15550.0,2208,44.565217391304344
0,DAD,clear,333,0.13513513513513514,8.708708708708707,3.6036036036036037,0.0,20680.0,2208,15.081521739130435
7,HAN,rain,17,4.823529411764706,100.0,100.0,2.176470588235294,3540.0,2208,0.7699275362318841
6,HAN,drizzle,364,3.1126373626373627,100.0,81.31868131868131,0.27197802197802196,7110.0,2208,16.485507246376812
5,HAN,cloudy,1438,0.6870653685674548,60.84840055632823,4.3115438108484,0.0,15080.0,2208,65.12681159420289
4,HAN,clear,389,0.0,0.0,0.0,0.0,16600.0,2208,17.617753623188406
11,SGN,rain,28,3.5,100.0,92.85714285714286,3.9535714285714287,4610.0,2208,1.2681159420289856
10,SGN,drizzle,211,1.6350710900473933,100.0,55.45023696682464,0.24265402843601896,10180.0,2208,9.556159420289854
9,SGN,cloudy,1467,0.06680299931833675,3.3401499659168374,1.4314928425357873,0.0,23040.0,2208,66.44021739130434
8,SGN,clear,502,0.02390438247011952,2.3904382470119523,0.0,0.0,22290.0,2208,22.735507246376812
