Airport,time,Runway_Wet_Risk,Is_Rain,_mismatch
DAD,2026-03-03 16:00:00,2,1,True
HAN,2026-01-01 05:00:00,2,1,True
SGN,2025-12-25 14:00:00,2,1,True
SGN,2025-12-25 18:00:00,2,1,True
SGN,2026-01-06 15:00:00,2,1,True
SGN,2026-01-06 17:00:00,2,1,True
SGN,2026-02-26 10:00:00,2,1,True
SGN,2026-02-27 12:00:00,2,1,True
SGN,2026-02-27 15:00:00,2,1,True
