,Airport,_tailwind_bin_kt,hours,runway_swap_pressure_rate_pct,forced_swap_rate_pct,wet_runway_rate_pct,risk_mean,risk_ge2_rate_pct
0,DAD,0,1339,0.0,0.0,54.742345033607165,1.8177744585511575,48.17027632561613
1,DAD,0-3,641,0.0,0.0,21.37285491419657,0.875195007800312,21.21684867394696
2,DAD,3-5,179,0.0,0.0,10.05586592178771,0.7094972067039106,15.64245810055866
3,DAD,5-8,49,100.0,6.122448979591836,6.122448979591836,1.4285714285714286,22.448979591836736
4,DAD,8-10,0,,,,,
5,DAD,>10,0,,,,,
6,HAN,0,1931,0.0,0.0,18.073537027446918,1.0248575867426204,17.762817193164164
7,HAN,0-3,263,0.0,0.0,11.02661596958175,0.7756653992395437,10.26615969581749
8,HAN,3-5,13,0.0,0.0,23.076923076923077,1.4615384615384615,38.46153846153847
9,HAN,5-8,1,100.0,0.0,0.0,1.0,0.0
10,HAN,8-10,0,,,,,
11,HAN,>10,0,,,,,
12,SGN,0,763,0.0,0.0,12.319790301441676,0.30668414154652685,10.484927916120576
13,SGN,0-3,1274,0.0,0.0,9.262166405023548,0.19858712715855573,5.4945054945054945
14,SGN,3-5,151,0.0,0.0,17.880794701986755,0.304635761589404,9.271523178807946
15,SGN,5-8,20,100.0,0.0,0.0,1.0,0.0
16,SGN,8-10,0,,,,,
17,SGN,>10,0,,,,,
