Airport,grouping,rows,MAE,MedianAE,RMSE,target_median,prediction_median,scheduled_month
DAD,Airport,2032,5.3296511733443435,1.909811802231566,12.667933494066347,0.0,2.5761691062227796,
HAN,Airport,4478,9.44237967181286,4.13904176906361,16.75622534248272,19.0,24.561657367142338,
SGN,Airport,5938,6.328751400237633,2.411634792772225,13.348222107887159,23.0,24.215664033550908,
,scheduled_month,12448,7.285744952540549,2.764539478477023,14.566862856087148,19.0,21.943318717232543,2026-03
DAD,Airport+scheduled_month,2032,5.3296511733443435,1.909811802231566,12.667933494066347,0.0,2.5761691062227796,2026-03
HAN,Airport+scheduled_month,4478,9.44237967181286,4.13904176906361,16.75622534248272,19.0,24.561657367142338,2026-03
SGN,Airport+scheduled_month,5938,6.328751400237633,2.411634792772225,13.348222107887159,23.0,24.215664033550908,2026-03
