airport,mode,column,compared_rows,mismatch_count,mismatch_pct,examples
DAD,departure,Crawl_Date,12524,115,0.92,7688: 2026-02-11 -> 2026-02-12 || 7839: 2026-02-12 -> 2026-02-13 || 7997: 2026-02-13 -> 2026-02-14 || 7998: 2026-02-13 -> 2026-02-14 || 8145: 2026-02-14 -> 2026-02-15
HAN,arrival,Flight_No,23510,23235,98.83,6: SPQ882 -> 9G882 || 36: SPQ878 -> 9G878 || 52: SPQ868 -> 9G868 || 86: SPQ1216 -> 9G1216 || 94: SPQ854 -> 9G854
HAN,arrival,Actual_Time,23510,23230,98.81,279: 01:05 -> 01:03 || 280: 01:03 -> 00:57 || 281: 00:57 -> 00:45 || 282: 00:45 -> 00:24 || 283: 00:24 -> 00:18
HAN,arrival,Flight_Time,23510,22973,97.72,279: 00:57 -> 01:42 || 280: 01:42 -> 01:41 || 281: 01:41 -> 01:00 || 282: 01:00 -> 01:42 || 283: 01:42 -> 01:01
HAN,arrival,IATA,23510,21486,91.39,279: HAN -> SGN || 281: SGN -> DAD || 282: DAD -> SGN || 283: SGN -> DAD || 284: DAD -> SGN
HAN,arrival,Origin,23510,21465,91.3,279: Hanoi -> Ho Chi Minh City || 281: Ho Chi Minh City -> Da Nang || 282: Da Nang -> Ho Chi Minh City || 283: Ho Chi Minh City -> Da Nang || 284: Da Nang -> Ho Chi Minh City
HAN,arrival,Airline,23510,19336,82.25,279: Aero Mongolia -> VietJet Air || 280: VietJet Air -> Vietnam Airlines || 281: Vietnam Airlines -> VietJet Air || 282: VietJet Air -> Vietnam Airlines || 287: Vietnam Airlines -> All Nippon Airways
HAN,arrival,Aircraft_Type,23510,19174,81.56,279: A319 -> A21N || 280: A21N -> A321 || 283: A321 -> A21N || 284: A21N -> A321 || 285: A321 -> A21N
HAN,arrival,Terminal,23510,13274,56.46,24: 0 -> 2 || 44: 0 -> 1 || 76: 0 -> 2 || 121: 0 -> 1 || 203: 0 -> 1
HAN,arrival,Category,23510,3728,15.86,13: general aviation -> cargo || 24: general aviation -> passenger || 37: general aviation -> cargo || 76: general aviation -> passenger || 208: general aviation -> passenger
HAN,arrival,Arrival_Runway,23510,2564,10.91,118: N/A -> 11L || 119: N/A -> 11L || 159: N/A -> 11L || 257: N/A -> 11L || 279: N/A -> 11L
HAN,arrival,Crawl_Date,23510,1932,8.22,286: 2025-12-16 -> 2025-12-17 || 572: 2025-12-17 -> 2025-12-18 || 573: 2025-12-17 -> 2025-12-18 || 868: 2025-12-18 -> 2025-12-19 || 869: 2025-12-18 -> 2025-12-19
HAN,departure,Flight_No,28351,27351,96.47,19: SPQ895 -> 9G895 || 28: SPQ885 -> 9G885 || 58: SPQ869 -> 9G869 || 107: SPQ853 -> 9G853 || 135: SPQ1215 -> 9G1215
HAN,departure,Actual_Time,28351,27321,96.37,1030: 12:16 -> 12:12 || 1031: 12:12 -> 12:09 || 1032: 12:09 -> 12:06 || 1033: 12:06 -> 12:03 || 1034: 12:03 -> 11:59
HAN,departure,Scheduled_Time,28351,26891,94.85,1030: N/A -> 11:50 || 1031: 11:50 -> N/A || 1032: N/A -> 11:30 || 1033: 11:30 -> 10:10 || 1034: 10:10 -> 11:45
HAN,departure,IATA,28351,25257,89.09,1030: N/A -> DAD || 1031: DAD -> IST || 1032: IST -> TPE || 1033: TPE -> DAD || 1034: DAD -> CAN
HAN,departure,Destination,28351,25238,89.02,1030: N/A -> Da Nang || 1031: Da Nang -> Istanbul || 1032: Istanbul -> Taipei || 1033: Taipei -> Da Nang || 1034: Da Nang -> Guangzhou
HAN,departure,Aircraft_Type,28351,22599,79.71,1030: C208 -> A321 || 1031: A321 -> B77L || 1032: B77L -> A21N || 1033: A21N -> A321 || 1034: A321 -> A20N
HAN,departure,Airline,28351,22481,79.3,1030: N/A -> Bamboo Airways || 1031: Bamboo Airways -> Turkish Airlines || 1032: Turkish Airlines -> Starlux || 1033: Starlux -> Vietnam Airlines || 1034: Vietnam Airlines -> China Southern Airlines
HAN,departure,Terminal,28351,15252,53.8,1: 0 -> 2 || 42: 0 -> 2 || 158: 0 -> 2 || 164: 0 -> 2 || 280: 0 -> 1
