Airport,Record_Type,rows,Flight_No_missing_pct,Scheduled_Time_missing_pct,Actual_Time_missing_pct,Scheduled_Tail_missing_pct,Departure_Delay_valid,Departure_Delay_median,Departure_Delay_p95,Departure_Delay_p99,Departure_Delay_min,Departure_Delay_max,Departure_Delay_Reg_Target_valid,Departure_Delay_Reg_Target_median,Departure_Delay_Reg_Target_p95,Departure_Delay_Reg_Target_p99,Departure_Delay_Reg_Target_min,Departure_Delay_Reg_Target_max,Arrival_Delay_valid,Arrival_Delay_median,Arrival_Delay_p95,Arrival_Delay_p99,Arrival_Delay_min,Arrival_Delay_max,Turnaround_Buffer_valid,Turnaround_Buffer_median,Turnaround_Buffer_p95,Turnaround_Buffer_p99,Turnaround_Buffer_min,Turnaround_Buffer_max,Turnaround_Buffer_Model_valid,Turnaround_Buffer_Model_median,Turnaround_Buffer_Model_p95,Turnaround_Buffer_Model_p99,Turnaround_Buffer_Model_min,Turnaround_Buffer_Model_max,Tail_Stagnation_Duration_Model_valid,Tail_Stagnation_Duration_Model_median,Tail_Stagnation_Duration_Model_p95,Tail_Stagnation_Duration_Model_p99,Tail_Stagnation_Duration_Model_min,Tail_Stagnation_Duration_Model_max,Airport_Load_Factor_valid,Airport_Load_Factor_median,Airport_Load_Factor_p95,Airport_Load_Factor_p99,Airport_Load_Factor_min,Airport_Load_Factor_max
DAD,Arrival,12573,0.0,100.0,0.0,100.0,0,,,,,,0,,,,,,12476,5.0,83.0,169.25,-685.0,625.0,0,,,,,,0,,,,,,0,,,,,,12476,15.0,23.0,26.0,0.0,30.0
DAD,Departure,12521,0.0,0.0,0.0,1.7011420813034102,12349,0.0,70.0,165.0,-705.0,650.0,12349,0.0,70.0,165.0,0.0,240.0,12349,0.0,46.0,100.0,-680.0,430.0,12349,60.0,1495.0,4320.0,0.0,4320.0,12148,60.0,1450.0,1752.1200000000026,1.0,4320.0,12201,1.0,1410.0,1692.0,0.0,4320.0,12349,0.625,1.0,1.125,0.0416666666666666,1.2916666666666667
HAN,Arrival,24899,0.6345636370938592,100.0,0.0,100.0,0,,,,,,0,,,,,,24766,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,,,,,,24766,29.0,37.0,40.0,1.0,47.0
HAN,Departure,28502,0.40348045751175354,6.98898322924707,0.0,0.10525577152480528,26489,22.0,98.0,198.23999999999796,-664.0,692.0,26489,22.0,98.0,198.23999999999796,0.0,240.0,26489,0.0,0.0,17.0,-48.0,430.0,26489,89.0,2327.199999999997,4320.0,0.0,4320.0,25440,87.0,1174.0,3044.220000000001,1.0,4320.0,25670,7.0,1114.0,3015.3100000000013,0.0,4320.0,26489,0.7837837837837838,1.027027027027027,1.108108108108108,0.027027027027027,1.2432432432432432
SGN,Arrival,36699,0.31063516717076756,100.0,0.0,100.0,0,,,,,,0,,,,,,36554,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,,,,,,36554,39.0,50.0,53.0,2.0,60.0
SGN,Departure,36735,0.19872056621750375,2.077038246903498,0.008166598611678236,0.09799918334013884,35885,29.0,130.0,235.0,-687.0,1466.0,35885,29.0,130.0,235.0,0.0,240.0,35885,0.0,0.0,11.0,-680.0,350.0,35885,79.0,727.0,3432.2799999999697,0.0,4320.0,35477,79.0,676.0,1517.479999999996,1.0,4320.0,35617,3.0,627.0,1470.0,0.0,4320.0,35885,0.9318181818181818,1.1590909090909092,1.25,0.0454545454545454,1.4090909090909092
