feature,missing_rate_pct,zero_rate_pct,nunique,mean,p95,max
Turnaround_Buffer,49.972057447195304,49.972057447195304,3634,568.5268771618148,1177.0,121045.0
Departure_Delay,49.687918717470495,56.087773281533,812,31.205726483144414,112.0,692.0
Terminal,0.23633339842040413,4.279587123533016,4,1.7306503428540576,3.0,3.0
Is_First_Flight,0.0,53.127209313286514,2,0.46872790686713484,1.0,1.0
Is_Diverted_Prev,0.0,99.96027444300056,2,0.0003972555699944115,0.0,1.0
Is_Airport_Congested,0.0,87.56590065917493,2,0.12434099340825079,1.0,1.0
Is_Parallel_Usage,0.0,82.7234225923956,2,0.17276577407604415,1.0,1.0
Runway_Swap_Event,0.0,89.1892619799487,2,0.10810738020051307,1.0,1.0
Is_Wide_Body,0.0,85.61194190642276,2,0.14388058093577252,1.0,1.0
Peak_Hour_Indicator,0.0,75.02272436523273,2,0.24977275634767268,1.0,1.0
Is_Special_Days,0.0,87.11275998357112,2,0.12887240016428875,1.0,1.0
Is_Imputed_Link,0.0,98.97454197779409,2,0.01025458022205913,0.0,1.0
Previous_Station_Disruption,0.0,99.99596011284751,6,1.028547675860107e-06,0.0,0.0277777777777777
Tail_Sequence_Day,0.0,0.0,10,2.168739353214067,5.0,10.0
Flight_Density_Disruption,0.0,99.97104747540718,10,7.347517851453085e-06,0.0,0.0277777777777777
Number_of_Flights_in_Last_Hour,0.0,0.07204465421932547,56,29.07506110329318,45.0,55.0
Standard_Turnaround,0.0,0.0,60,98.6912650906618,143.0,451.0
Airport_Load_Factor,0.0,0.004713201677899797,63,30.947791191699377,48.0,62.0
Arrival_Delay,0.0,85.02279169668527,301,2.0222799776459577,15.0,625.0
Accumulated_Delay,0.0,91.19304600758153,302,3.610420215595311,18.0,1260.0
Tail_Stagnation_Duration,0.0,51.019734848739894,4243,250.82220456641912,552.0,121015.0
