Airport,Mode,Metric,Value
SGN,departure,terminal_values_changed,0
SGN,departure,thd_route_name_changed,0
SGN,departure,dad_belt_general_aviation_changed,0
HAN,arrival,airline_values_changed,0
HAN,arrival,category_unknown_assigned,26
HAN,arrival,terminal_values_changed,26
HAN,arrival,thd_route_name_changed,0
HAN,arrival,dad_belt_general_aviation_changed,0
HAN,departure,airline_values_changed,0
HAN,departure,category_unknown_assigned,0
HAN,departure,terminal_values_changed,0
HAN,departure,thd_route_name_changed,0
HAN,departure,dad_belt_general_aviation_changed,0
DAD,arrival,airline_values_changed,0
DAD,arrival,category_unknown_assigned,0
DAD,arrival,terminal_values_changed,0
DAD,arrival,thd_route_name_changed,0
DAD,arrival,dad_belt_general_aviation_changed,0
DAD,departure,airline_values_changed,0
DAD,departure,category_unknown_assigned,0
DAD,departure,terminal_values_changed,0
DAD,departure,thd_route_name_changed,0
DAD,departure,dad_belt_general_aviation_changed,0
ALL,departure,swap_matched_rows,24118
ALL,departure,swap_true_rows,0
ALL,departure,swap_true_sgn->dad,0
ALL,departure,swap_true_sgn->han,0
ALL,departure,swap_true_dad->sgn,0
ALL,departure,swap_true_dad->han,0
ALL,departure,swap_true_han->sgn,0
ALL,departure,swap_true_han->dad,0
ALL,departure,swap_true_rows_used,26
ALL,departure,dad_arrival_tail_overrides,25
ALL,departure,dad_departure_tail_overrides,1
ALL,arrival,arrival_without_departure_rows,476
ALL,arrival,SGN_arrivals_marked_without_departure,184
ALL,arrival,HAN_arrivals_marked_without_departure,94
ALL,arrival,DAD_arrivals_marked_without_departure,198
ALL,arrival,arrivals_marked_without_departure_total,476
ALL,departure,SGN_departures_dropped_without_arrival,0
ALL,departure,HAN_departures_dropped_without_arrival,0
ALL,departure,DAD_departures_dropped_without_arrival,0
ALL,departure,departures_dropped_without_arrival_total,0
ALL,departure,SGN_departures_marked_without_arrival,156
ALL,departure,HAN_departures_marked_without_arrival,258
ALL,departure,DAD_departures_marked_without_arrival,205
ALL,departure,departures_marked_without_arrival_total,619
SGN,arrival,rows_output,36699
SGN,departure,rows_output,36735
HAN,arrival,rows_output,24899
HAN,departure,rows_output,28502
DAD,arrival,rows_output,12573
DAD,departure,rows_output,12521
