feature,missing_rate,mean,std,min,max
Departure_Delay,0.4968791871747049,31.205726483144414,119.06923233932004,-27256.0,692.0
Terminal,0.002363333984204,1.7306503428540576,0.8104629580731817,0.0,3.0
Tail_Sequence_Day,0.0,2.168739353214067,1.4345500597053062,1.0,10.0
Is_First_Flight,0.0,0.4687279068671348,0.4990227779411024,0.0,1.0
Arrival_Delay,0.0,2.0222799776459577,15.721087198006073,-685.0,625.0
Accumulated_Delay,0.0,3.610420215595311,21.28970197119212,0.0,1260.0
Turnaround_Buffer,0.499720574471953,568.5268771618148,3542.9288639938395,1.0,121045.0
Tail_Stagnation_Duration,0.0,250.82220456641912,2518.3744740661937,-655.0,121015.0
Is_Diverted_Prev,0.0,0.0003972555699944,0.0199273789481057,0.0,1.0
Airport_Load_Factor,0.0,30.947791191699377,11.595570076711496,0.0,62.0
Number_of_Flights_in_Last_Hour,0.0,29.07506110329318,11.340072407699008,0.0,55.0
Is_Airport_Congested,0.0,0.1243409934082507,0.3299712773536266,0.0,1.0
Flight_Density_Disruption,0.0,7.347517851453094e-06,0.000432715432433,0.0,0.0277777777777777
Previous_Station_Disruption,0.0,1.028547675860108e-06,0.0001622692732769,0.0,0.0277777777777777
Is_Parallel_Usage,0.0,0.1727657740760441,0.378045927998802,0.0,1.0
Runway_Swap_Event,0.0,0.108107380200513,0.3105170265252884,0.0,1.0
Is_Wide_Body,0.0,0.1438805809357725,0.3509697832474573,0.0,1.0
Peak_Hour_Indicator,0.0,0.2497727563476726,0.4328828805138974,0.0,1.0
Is_Special_Days,0.0,0.1288724001642887,0.3350597865115176,0.0,1.0
Is_Imputed_Link,0.0,0.0102545802220591,0.1007446879221597,0.0,1.0
Standard_Turnaround,0.0,98.6912650906618,31.00567589435009,37.5,451.0
