mode,airport,column,missing_count,missing_rate_pct,nunique
departure,SGN,Is_Aircraft_Swapped,0,0.0,1
departure,SGN,Has_Matched_Departure,0,0.0,1
departure,SGN,Has_Matched_Arrival,0,0.0,2
departure,SGN,Match_Status,0,0.0,2
departure,SGN,Data_Completeness,0,0.0,2
departure,SGN,Exclude_From_Propagation_Training,0,0.0,2
departure,HAN,Crawl_Date,0,0.0,92
departure,HAN,Actual_Time,0,0.0,28374
departure,HAN,Departure_Runway,0,0.0,4
departure,HAN,Status,0,0.0,1
departure,HAN,Is_Fixed_Flight,0,0.0,2
departure,HAN,Category,0,0.0,7
departure,HAN,Is_Aircraft_Swapped,0,0.0,1
departure,HAN,Has_Matched_Departure,0,0.0,1
departure,HAN,Has_Matched_Arrival,0,0.0,2
departure,HAN,Match_Status,0,0.0,2
departure,HAN,Data_Completeness,0,0.0,2
departure,HAN,Exclude_From_Propagation_Training,0,0.0,2
departure,DAD,Crawl_Date,0,0.0,91
departure,DAD,Scheduled_Time,0,0.0,9622
departure,DAD,Actual_Time,0,0.0,9685
departure,DAD,Destination,0,0.0,33
departure,DAD,IATA,0,0.0,33
departure,DAD,Flight_No,0,0.0,282
departure,DAD,Checkin_Time,0,0.0,414
departure,DAD,Terminal,0,0.0,3
departure,DAD,Is_Fixed_Flight,0,0.0,2
departure,DAD,Departure_Runway,0,0.0,4
departure,DAD,Is_Aircraft_Swapped,0,0.0,1
departure,DAD,Has_Matched_Departure,0,0.0,1
departure,DAD,Has_Matched_Arrival,0,0.0,2
departure,DAD,Match_Status,0,0.0,2
departure,DAD,Data_Completeness,0,0.0,2
departure,DAD,Exclude_From_Propagation_Training,0,0.0,2
