feature,Departure_Delay,Departure_Delay_Reg_Target,Arrival_Delay,Accumulated_Delay,Turnaround_Buffer,Turnaround_Buffer_Model,Tail_Stagnation_Duration,Tail_Stagnation_Duration_Model,Turnaround_Deficit_Min,Turnaround_Slack_Min,Standard_Turnaround,Tail_Sequence_Day,Prev_Departure_Delay_Tail_1,Prev_Departure_Delay_Tail_2,Prev_Turnaround_Buffer_Tail_1,Prev_Turnaround_Buffer_Tail_2,Rolling_Departure_Delay_Tail_3,Rolling_Turnaround_Buffer_Tail_3,Prev_Departure_Delay_Airport_1,Rolling_Departure_Delay_Airport_3,Airport_Load_Factor,Number_of_Flights_in_Last_Hour,Flight_Density_Disruption,Previous_Station_Disruption,Destination_Congestion_Risk,Taxi_Out_Congestion,A_CDM_TOBT_Deficit,Ground_Handling_Pressure,Terminal,Is_First_Flight,Is_Fixed_Flight,Has_Matched_Arrival,Is_Imputed_Link,Is_Diverted_Prev,Is_Airport_Congested,Is_Parallel_Usage,Is_Wide_Body,Peak_Hour_Indicator,Is_Special_Days,Is_Long_Ground_Turnaround,Exclude_From_Propagation_Training
Departure_Delay,1.0,0.9993628833289956,0.06515022470524835,0.07173051743779658,-0.09217970974283798,-0.10409615265345486,0.12972362182851377,0.12612643387464145,-0.10083040135986043,0.12969024649622626,0.2866555923739238,0.2200526569626787,0.3248858812559595,0.24792133172530975,-0.037067709696539365,0.010554364447210378,0.34023188484336886,0.009858513695478525,0.02040958721027084,0.06867870180617548,0.3623132140830002,0.44268936755324617,-0.00500054631445752,-0.008928702808687957,0.06027069491283146,0.27628028486438927,0.23604440532737875,0.31953461136742706,0.0046111786137246055,-0.2010102081486114,-0.07183447939664177,0.009091722599302007,-0.017392501417130325,-0.002392605527158782,0.30591791929296397,0.12777509365277798,0.07793880160231205,0.02634780362227336,0.025162524250685294,0.03398597096922045,-0.009091722599302007
Departure_Delay_Reg_Target,0.9993628833289956,1.0,0.06622842534704,0.07035945302989097,-0.08967179820506581,-0.10148040145751287,0.1290576784151544,0.1253233138311771,-0.09844503572685336,0.12902483916642013,0.2929294216072338,0.22004515770103136,0.32308099524433204,0.24628669297274186,-0.037083991077382486,0.010866031559131411,0.3383273769793965,0.009929873165146395,0.021376360869745224,0.07475304543029873,0.36441724181656276,0.44733501796934205,-0.005030520919370394,-0.008720009890335344,0.05986758410112278,0.27987400665824724,0.23611403637829403,0.318993345517925,0.007007601587450867,-0.2009283403726436,-0.07333967713555027,0.009644852133151843,-0.017769262801343933,-0.002008909597377821,0.3075508625925996,0.1272772052525765,0.07786773073580454,0.026498084546012275,0.02535468323558486,0.03437800903798282,-0.009644852133151843
Arrival_Delay,0.06515022470524835,0.06622842534704,1.0,0.10606776372530197,-0.08744298579065339,-0.09137048763513834,-0.02666079429095977,-0.027088509366178987,0.08998235802822215,-0.02667147720552438,-0.10895485218139407,0.07782832476733781,0.14988486670401194,0.07070158773856838,-0.06052191887741577,-0.02177098470776871,0.10893238113646982,-0.00951300213896187,-0.021325469496458527,-0.024420999687254166,-0.022526289957731017,-0.05177928129719631,-0.0012901049535397188,-0.004261947869530817,0.043982937888925405,-0.047870148909472075,0.0773576489200001,0.04704048398443249,-0.04312126026414891,-0.05084163844104548,-0.05067862701344259,-0.006571646382319554,0.0016632498122808902,-0.001362530076008236,-0.019615278323728842,0.01408116165178513,-0.03956326901914604,-0.008610582562629867,0.00021508196143846885,-0.0025415014160566243,0.006571646382319554
Accumulated_Delay,0.07173051743779658,0.07035945302989097,0.10606776372530197,1.0,-0.12276865053243144,-0.12180291532921361,-0.06472007117794269,-0.057906048235416174,0.06262200420293491,-0.06472367334839467,-0.09272195976531805,0.3580392602714105,-0.07686959972070116,-0.020757403693004713,-0.14618653051820404,-0.07931937880430805,-0.020291053184272,-0.05591993885840771,-0.03639308278526062,-0.05282621874105522,0.0339870283098368,0.0075300740705165434,-0.0027737522611923095,-0.0028520296320357985,0.06113721089530382,-0.014300247733054003,0.07517363601610613,0.12705605367053577,-0.06185596943051746,-0.2712170039414538,-0.09529679489676376,-0.01171259831918918,0.009105481928168586,-0.0058058787400069225,0.026293082468674952,0.03148114352048753,-0.11985601016189723,0.018936707878906743,0.006449354615430827,-0.03625975749776844,0.01171259831918918
Turnaround_Buffer,-0.09217970974283798,-0.08967179820506581,-0.08744298579065339,-0.12276865053243144,1.0,0.999999998858653,0.8654750579850412,0.8582814201966721,-0.7118653056446549,0.8654719056730102,0.167899272922945,-0.3365642252240699,0.039699350784396625,0.04656682303687265,0.1251804223542829,0.062444816193621466,0.03507935136982277,0.07905788160176253,0.11289246229563894,0.14712343648280177,-0.1978955448648112,-0.14965791324217784,0.0014103011288009637,-0.0015836190157092324,-0.09099199279677671,-0.006339084809272242,-0.8447875081910505,-0.16934531246332024,0.013919087146058284,0.3334640052337555,0.09297334415509208,0.02094946523336675,-0.014913053872996677,0.014143289868636551,-0.17347497087780397,-0.12043634287387742,0.11658764823245761,0.03280032200279601,-0.014617544794068895,0.22021904219259872,-0.02094946523336675
Turnaround_Buffer_Model,-0.10409615265345486,-0.10148040145751287,-0.09137048763513834,-0.12180291532921361,0.999999998858653,1.0,0.8585797655761925,0.8586137992240486,-0.7246229958027983,0.8585797601504443,0.17460790803474985,-0.33245489984732296,0.04506591768195672,0.050526336175478775,0.12924270017017617,0.06716618818749535,0.04089528254248267,0.09047566239766941,0.11769725561425108,0.14989465736937063,-0.2002622051797791,-0.1507454538807946,0.0031475257857919185,-0.0014494069310563927,-0.09038909234778798,-0.007403643733130241,-0.8632575995308623,-0.15359791407721757,0.011804689504226232,0.32904929335968625,0.08416385428356667,0.02020213189190615,-0.013323120493529923,0.015011019388301782,-0.17537165264931517,-0.12397978683141643,0.11827302677460064,0.03574531061290322,-0.011997590920383413,,-0.02020213189190615
Tail_Stagnation_Duration,0.12972362182851377,0.1290576784151544,-0.02666079429095977,-0.06472007117794269,0.8654750579850412,0.8585797655761925,1.0,0.9999636228554064,-0.8295049314990169,0.9999962724309045,0.0170476767433581,-0.25852577277863303,0.11554873035011161,0.09247203216767656,0.08425387960494878,0.047596799564092934,0.1097833514435934,0.0831276636114506,0.09600053876466508,0.1032894273629648,-0.18041293794400579,-0.15870115660317557,-0.0012557700193830785,-0.004566028075075206,-0.05807800060670812,-0.008923490027839574,-0.8017020829790346,-0.09169724807703446,-0.03638633534113095,0.27341837920838413,0.06852662203812136,0.012523885084356586,-0.008351338914377338,0.012724621257811874,-0.14861898999034023,-0.08065910060912894,-0.0032079968838301495,0.04516366883206482,-0.009549148024230658,0.23255791274628942,-0.012523885084356586
Tail_Stagnation_Duration_Model,0.12612643387464145,0.1253233138311771,-0.027088509366178987,-0.057906048235416174,0.8582814201966721,0.8586137992240486,0.9999636228554064,1.0,-0.8301665777916225,0.9999636155443574,0.02210458651784862,-0.2373341873761739,0.12421221946752582,0.09820156668201759,0.08755989316888535,0.05225568978427065,0.11889185284029692,0.09559126851755778,0.09646773968509523,0.09917527771440965,-0.17356072330559327,-0.15187555742783096,-0.000713577815299982,-0.004395586564288275,-0.05351378830615333,-0.007298660055843957,-0.7980480983555904,-0.06211401202699245,-0.04182145178060215,0.25133505054955574,0.053329868919940945,0.010619422059241174,-0.0053172260265412835,0.01369580681585967,-0.14304029549590863,-0.0790048872701549,-0.009018085286949076,0.04872195489655618,-0.004378115131322192,,-0.010619422059241174
Turnaround_Deficit_Min,-0.10083040135986043,-0.09844503572685336,0.08998235802822215,0.06262200420293491,-0.7118653056446549,-0.7246229958027983,-0.8295049314990169,-0.8301665777916225,1.0,-0.8295018394620696,0.06453611956286254,0.2611580612031082,-0.06888009567961126,-0.07177857448850627,-0.08825602576094775,-0.04408392184270895,-0.07676142991350486,-0.062432211091977406,-0.07191164612450042,-0.06460363059953637,0.15595906549233968,0.15155915085287425,0.004582366348817657,0.00422947200517171,0.08037128807801786,0.021135187905174838,0.8060134458806553,0.1320696761849048,0.012617775836303705,-0.2666969019845831,-0.09029270719014756,-0.014296114625315345,-0.026173306535716815,-0.004161806453127729,0.11736275936723341,0.05070835744604629,0.036718107798673585,-0.02280439648756109,0.001384907301805591,-0.11057846910814122,0.014296114625315345
Turnaround_Slack_Min,0.12969024649622626,0.12902483916642013,-0.02667147720552438,-0.06472367334839467,0.8654719056730102,0.8585797601504443,0.9999962724309045,0.9999636155443574,-0.8295018394620696,1.0,0.0170821911156902,-0.2585324648652805,0.1155376245820249,0.09246695004182726,0.08423412404526416,0.047584954866007986,0.1097611963664081,0.08306046501057643,0.09600089248544272,0.1032892047325194,-0.18042527839592226,-0.15871297044646887,-0.0012557653384135633,-0.004566011054890065,-0.058088446835900004,-0.00892508557988392,-0.8016990945791262,-0.09174407014406873,-0.03637022195157786,0.27342914240477667,0.06854062298937794,0.012523430153061156,-0.00835099356170313,0.012724573825906924,-0.1486289464636395,-0.08065956522019854,-0.003181140220455555,0.04515254979625414,-0.009563747459584642,0.23310550319734416,-0.012523430153061156
