feature,valid_rows,negative_rows,zero_rows,p01,p05,median,p95,p99,max
Departure_Delay,74723,1607,9672,-58.0,0.0,23.0,113.0,212.0,1466.0
Arrival_Delay,148519,8905,126275,-20.0,-4.0,0.0,15.0,65.0,625.0
Turnaround_Buffer,74723,0,423,2.0,15.0,79.0,1166.8999999999942,4320.0,4320.0
Airport_Load_Factor,148519,0,7,0.2272727272727272,0.5,1.2272727272727273,45.0,50.0,60.0
Number_of_Flights_in_Last_Hour,148519,0,116,4.0,10.0,30.0,46.0,49.0,59.0
