feature,missing_rate,mean,std,min,p50,p95,max
Terminal,0.002363333984204,1.7306503428540576,0.8104629580731817,0.0,2.0,3.0,3.0
Arrival_Flight_Duration_Minutes,0.5999434415798652,138.98651878281945,110.15213750679672,8.0,103.0,356.0,998.0
Source_Row_Index,0.0,14653.95548044358,9849.958749610592,0.0,12743.0,32956.0,36734.0
Belt,0.9188386671065656,2.803965488634478,1.295979475826098,1.0,3.0,5.0,5.0
Arrival_Delay_This_Leg,0.5031208128252951,2.5074529784812185,17.456723332950066,-685.0,0.0,19.0,625.0
Is_Imputed_Link,0.0,0.0102545802220591,0.1007446879221597,0.0,0.0,0.0,1.0
Median_Turnaround_Time,0.5031208128252951,99.01184346035016,31.639765107806696,37.5,99.0,147.0,451.0
Tail_Sequence_Day,0.0,2.1691029430577906,1.4343852031567563,1.0,2.0,5.0,10.0
Is_First_Flight,0.0,0.4683710501686653,0.4990002866676478,0.0,0.0,1.0,1.0
Arrival_Delay,0.0,2.0222799776459577,15.721087198006073,-685.0,0.0,15.0,625.0
Accumulated_Delay,0.0,3.610420215595311,21.289701971192116,0.0,0.0,18.0,1260.0
Standard_Turnaround,0.0,98.60053595836224,30.890473738070295,37.5,99.0,134.0,451.0
Departure_Delay,0.4968791871747049,33.277130200875234,49.360692060213886,-705.0,23.0,113.0,1466.0
Departure_Delay_Reg_Target,0.4968791871747049,34.04215569503366,39.481154139751986,0.0,23.0,113.0,240.0
Turnaround_Buffer,0.4968791871747049,296.50198733990874,685.2318033094205,0.0,79.0,1166.8999999999942,4320.0
Turnaround_Buffer_Model,0.5080427420060732,230.21038116745365,449.0650569025455,1.0,78.0,894.0,4320.0
Is_Long_Ground_Turnaround,0.0,0.008315434388866,0.0908093798217942,0.0,0.0,0.0,1.0
Tail_Stagnation_Duration,0.0,122.7199684888802,504.6689539460468,0.0,0.0,554.0,4320.0
Tail_Stagnation_Duration_Model,0.505194621563571,175.41719056172437,448.0663622170743,0.0,4.0,822.6499999999942,4320.0
Turnaround_Deficit_Min,0.0,5.5892579400615405,15.386728064078492,0.0,0.0,33.0,655.0
Turnaround_Slack_Min,0.0,257.3053077384038,2518.834615440614,0.0,0.0,554.0,121015.0
Prev_Departure_Delay_Tail_1,0.5260067735441256,31.7158827790957,44.395513859227144,-705.0,23.0,105.0,1466.0
Prev_Departure_Delay_Tail_2,0.533770090022152,33.60169834209462,48.5195977227167,-705.0,23.0,114.0,1466.0
Prev_Turnaround_Buffer_Tail_1,0.5257172482981975,227.40937677455992,436.9093067766849,1.0,78.0,883.0,4320.0
Prev_Turnaround_Buffer_Tail_2,0.540099246561046,225.90541549543215,429.47954445941895,1.0,78.0,873.8499999999985,4320.0
Rolling_Departure_Delay_Tail_3,0.5172738841495027,33.04701462697948,36.60466021061767,-664.0,25.666666666666668,94.0,1466.0
Rolling_Turnaround_Buffer_Tail_3,0.5198190130555687,225.49074541477367,298.8698473230039,1.0,137.33333333333334,735.8333333333333,4320.0
Prev_Departure_Delay_Airport_1,0.9032379695527172,-5.814209171247652,39.50419402739609,-705.0,0.0,13.0,67.0
Rolling_Departure_Delay_Airport_3,0.7808563214134219,-3.2955827982097685,38.06453506982329,-687.0,2.0,18.0,71.5
Is_Diverted_Prev,0.0,0.0003972555699944,0.0199273789481057,0.0,0.0,0.0,1.0
Airport_Load_Factor,0.0,15.601661908715212,16.9163059450919,0.0,1.2272727272727273,45.0,60.0
Number_of_Flights_in_Last_Hour,0.0,29.18340414357759,11.385797106747663,0.0,30.0,46.0,59.0
Flight_Density_Disruption,0.0,7.165837648852891e-06,0.0004170862788149,0.0,0.0,0.0,0.0277777777777777
Is_Parallel_Usage,0.0,0.1730552993219722,0.3782963471491049,0.0,0.0,1.0,1.0
Previous_Station_Disruption,0.0,1.1560693662794748e-06,0.0001688670972977,0.0,0.0,0.0,0.027027027027027
Runway_Swap_Event,0.0,0.0075074569583689,0.086320016323158,0.0,0.0,0.0,1.0
Is_Wide_Body,0.0,0.1438805809357725,0.3509697832474573,0.0,0.0,1.0,1.0
Peak_Hour_Indicator,0.0,0.2497727563476726,0.4328828805138974,0.0,0.0,1.0,1.0
Is_Special_Days,0.0,0.1288724001642887,0.3350597865115176,0.0,0.0,1.0,1.0
temperature,0.0,24.318514129505314,4.988690829826985,8.6,24.4,32.8,35.7
precipitation,0.0,0.0840175331102418,0.468562386961565,0.0,0.0,0.3,13.9
cloudcover,0.0,64.58916367602798,37.898540043835226,0.0,83.0,100.0,100.0
