feature,missing_rate,mean,std,min,p50,p95,max
Precip_Cumsum_1H_Mm,0.0,0.08570149273830284,0.4768269359672782,0.0,0.0,0.3,13.9
Precip_Cumsum_3H_Mm,0.0,0.26317238871794185,1.0966531270291056,0.0,0.0,1.2,20.8
Precip_Cumsum_6H_Mm,0.0,0.5326146822965412,1.846672253517803,0.0,0.0,2.6,25.1
Wind_Gust_Estimate_Kmh,0.0,9.367070206505565,4.5606353972407,0.6,8.7,17.6,27.5
Crosswind_Max_3H_Kmh,0.0,7.333232246379252,4.46869113269298,0.08,6.47,15.59,26.68
Wind_Gust_Estimate_Kt,0.0,5.05824904557666,2.462675246105822,0.32,4.7,9.5,14.85
Crosswind_Max_3H_Kt,0.0,3.959648193160471,2.4128808996378908,0.04,3.49,8.42,14.41
Gust_Variation_Kmh,0.0,1.3144015243840856,1.6324086455600797,0.0,0.7,4.6,16.5
Gust_Variation_Kt,0.0,0.7097097341080939,0.881520011064066,0.0,0.38,2.48,8.91
Is_Rain,0.0,0.18475750577367206,0.38810202782482356,0.0,0.0,1.0,1.0
Is_Heavy_Rain,0.0,0.002134407045563194,0.04615046795886392,0.0,0.0,0.0,1.0
Is_Low_Visibility,0.0,0.0016900194587897844,0.04107523162455331,0.0,0.0,0.0,1.0
Is_Fog,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is_Dewpoint_Spread_Le_1_5C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is_Radiation_Fog_Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is_WMO_Rain_Code,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is_Below_3SM_Visibility,0.0,0.0016832863135356419,0.04099346503446243,0.0,0.0,0.0,1.0
Is_Below_1SM_Visibility,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is_Crosswind_10kt,0.0,0.013466290508285135,0.11526074343994468,0.0,0.0,0.0,1.0
Is_Tailwind_Default_Runway_5kt,0.0,0.009244608433937745,0.09570374767538732,0.0,0.0,0.0,1.0
Is_Low_Ceiling_Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is_Severe_Convection_Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is_Thunderstorm_Risk,0.0,0.11873901655680417,0.323482251546219,0.0,0.0,1.0,1.0
Convective_Severity_Score,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Runway_Wet_Risk,0.0,0.18689191281923526,0.3952634460380858,0.0,0.0,1.0,2.0
Forced_Runway_Swap_Risk,0.0,0.009574532551390732,0.10071135688447759,0.0,0.0,0.0,2.0
Weather_Delay_Risk_Score,0.0,0.12256344306115716,0.339100690616736,0.0,0.0,1.0,3.0
Aviation_Operational_Risk_Score,0.0,0.3341794652536039,0.7220836828739965,0.0,0.0,2.0,6.0
Is_Fixed_Flight,0.4968791871747049,0.2951300135165879,0.45610423443361375,0.0,0.0,1.0,1.0
Gate,0.91829328234098,5.532591676967449,2.3162104940094927,1.0,6.0,9.0,11.0
Is_Jet_Bridge,0.9223735683649903,0.7034434903287362,0.4567590636735233,0.0,1.0,1.0,1.0
Is_Remote_Stand,0.9223735683649903,0.2965565096712638,0.4567590636735233,0.0,0.0,1.0,1.0
Prev_Arrival_Imputed_Link,0.49972730761720724,0.006016150740242261,0.07733069995503225,0.0,0.0,0.0,1.0
Is_Airport_Congested,0.4968791871747049,0.0,0.0,0.0,0.0,0.0,0.0
Airline_Avg_Delay_Rate,0.49782856065553904,29.792293314740824,17.659491041265014,-391.5,32.47,47.02,212.0
Airline_Delay_Volatility,0.4992627205946714,31.788273877556506,28.95141895375333,0.0,23.19,85.26,456.32
A_CDM_TOBT_Deficit,0.4968791871747049,9.232217657213978,15.78563411678454,0.0,0.0,46.0,89.0
Ground_Handling_Pressure,0.4968791871747049,2.496594087496487,2.4743481567526624,0.0,2.0,7.0,14.0
Destination_Congestion_Risk,0.4968791871747049,0.0,0.0,0.0,0.0,0.0,0.0
Taxi_Out_Congestion,0.4968791871747049,0.0,0.0,0.0,0.0,0.0,0.0
