airport,P(next_bad | current_bad),P(next_bad | current_good),bad_hours,good_hours
DAD,0.8157181571815718,0.18545454545454546,1107,1100
HAN,0.881859756097561,0.17318435754189945,1312,895
SGN,0.7365728900255755,0.05616740088105727,391,1816
