airport,hours,below_10000m_hours,below_10000m_rate_pct,below_5000m_hours,below_5000m_rate_pct,below_3000m_hours,below_3000m_rate_pct
DAD,2208,913,41.349637681159415,408,18.478260869565215,246,11.141304347826086
HAN,2208,616,27.898550724637683,131,5.932971014492754,41,1.8568840579710144
SGN,2208,187,8.469202898550725,50,2.2644927536231885,25,1.1322463768115942
