,Airport,_month,hours,risk_mean,risk_positive_rate_pct,risk_ge2_rate_pct,precip_mean,precip_sum,rain_rate_pct,thunderstorm_rate_pct
0,DAD,2025-12,408,1.4534313725490196,69.36274509803921,45.83333333333333,0.2676470588235294,109.2,66.91176470588235,50.98039215686274
1,DAD,2026-01,744,0.9852150537634409,43.68279569892473,29.435483870967744,0.07513440860215054,55.9,29.838709677419356,15.188172043010754
2,DAD,2026-02,672,0.8348214285714286,40.327380952380956,25.744047619047617,0.07380952380952381,49.6,27.976190476190478,18.303571428571427
3,DAD,2026-03,384,1.2447916666666667,59.375,35.67708333333333,0.25390625,97.5,54.166666666666664,38.02083333333333
4,HAN,2025-12,408,0.7450980392156863,44.36274509803921,18.872549019607842,0.04068627450980392,16.6,16.42156862745098,9.313725490196079
5,HAN,2026-01,744,1.0591397849462365,60.08064516129033,25.940860215053764,0.06989247311827956,52.0,15.725806451612904,12.903225806451612
6,HAN,2026-02,672,1.2529761904761905,72.32142857142857,33.18452380952381,0.07678571428571429,51.6,22.470238095238095,20.535714285714285
7,HAN,2026-03,384,0.7916666666666666,51.5625,17.708333333333336,0.04114583333333333,15.8,11.979166666666668,10.15625
8,SGN,2025-12,408,0.5661764705882353,32.35294117647059,22.794117647058822,0.09877450980392158,40.300000000000004,14.705882352941178,11.029411764705882
9,SGN,2026-01,744,0.11827956989247312,6.989247311827956,4.435483870967742,0.03776881720430108,28.1,4.435483870967742,2.553763440860215
10,SGN,2026-02,672,0.25744047619047616,15.476190476190476,8.630952380952381,0.10625000000000001,71.4,12.797619047619047,9.375
11,SGN,2026-03,384,0.5234375,26.822916666666668,20.833333333333336,0.05755208333333334,22.1,15.625,7.03125
