,Airport,_cape_bin,hours,lifted_index_mean,severe_convection_rate_pct,risk_mean,risk_ge2_rate_pct
0,DAD,<=250,2000,5.6851,0.0,1.4115,36.35
1,DAD,250-500,73,-0.4232876712328767,0.0,2.547945205479452,69.86301369863014
2,DAD,500-1000,45,-0.8711111111111112,0.0,1.6444444444444444,42.22222222222222
3,DAD,1000-1500,32,-1.0625,0.0,1.375,28.125
4,DAD,1500-2500,27,-1.6962962962962962,25.925925925925924,1.6296296296296295,40.74074074074074
5,DAD,>2500,31,-2.661290322580645,41.935483870967744,0.6774193548387096,9.67741935483871
6,HAN,<=250,2020,9.781633663366337,0.0,0.9856435643564356,16.287128712871286
7,HAN,250-500,106,0.530188679245283,0.0,1.1132075471698113,22.641509433962266
8,HAN,500-1000,37,0.4081081081081081,0.0,1.6756756756756757,43.24324324324324
9,HAN,1000-1500,31,0.6225806451612903,0.0,0.9354838709677419,16.129032258064516
10,HAN,1500-2500,12,-0.5166666666666667,0.0,0.25,8.333333333333332
11,HAN,>2500,2,-1.65,0.0,0.0,0.0
12,SGN,<=250,1345,3.580966542750929,0.0,0.09739776951672863,2.6022304832713754
13,SGN,250-500,228,0.1307017543859649,0.0,0.4605263157894737,12.719298245614036
14,SGN,500-1000,275,-0.4050909090909091,0.0,0.5454545454545454,16.0
15,SGN,1000-1500,189,-0.6994708994708995,0.0,0.49206349206349204,17.46031746031746
16,SGN,1500-2500,163,-1.4208588957055215,15.337423312883436,0.43558282208588955,14.11042944785276
17,SGN,>2500,8,-2.4625,37.5,0.375,0.0
