airport,hours,below_10000m_hours,below_10000m_rate_pct,below_5000m_hours,below_5000m_rate_pct,below_3000m_hours,below_3000m_rate_pct
DAD,2208,134,6.068840579710145,9,0.4076086956521739,0,0.0
HAN,2208,3,0.1358695652173913,0,0.0,0,0.0
SGN,2208,19,0.8605072463768116,5,0.22644927536231885,0,0.0
