,Airport,_dew_spread_bin,hours,risk_mean,risk_ge2_rate_pct,visibility_median_m,below_3sm_rate_pct,below_1sm_rate_pct,humidity_mean_pct,radiation_fog_rate_pct,low_ceiling_rate_pct
0,DAD,<=1.5C,611,2.5008183306055645,61.702127659574465,5740.0,43.207855973813416,22.585924713584287,94.15384615384616,71.68576104746317,33.387888707037646
1,DAD,1.5-3C,675,1.4044444444444444,37.925925925925924,11960.0,16.0,5.62962962962963,87.20296296296296,0.0,24.0
2,DAD,3-5C,461,1.0065075921908895,29.28416485900217,14320.0,3.68763557483731,0.8676789587852495,78.59652928416486,0.0,14.75054229934924
3,DAD,5-10C,454,0.552863436123348,11.45374449339207,25340.0,0.881057268722467,0.0,67.12555066079295,0.0,10.79295154185022
4,DAD,>10C,7,0.14285714285714285,0.0,36360.0,0.0,0.0,49.714285714285715,0.0,14.285714285714285
5,HAN,<=1.5C,580,1.4896551724137932,27.586206896551722,7630.0,17.06896551724138,3.2758620689655173,95.3948275862069,56.03448275862068,58.9655172413793
6,HAN,1.5-3C,381,1.1732283464566928,22.57217847769029,11720.0,4.724409448818897,0.0,86.76377952755905,0.0,56.69291338582677
7,HAN,3-5C,395,0.8987341772151899,17.21518987341772,15660.0,1.2658227848101267,0.0,77.40759493670886,0.0,49.36708860759494
8,HAN,5-10C,730,0.7164383561643836,8.356164383561644,18000.0,0.273972602739726,0.0,63.78219178082192,0.0,51.64383561643836
9,HAN,>10C,122,0.11475409836065574,0.0,21440.0,0.0,0.0,46.040983606557376,0.0,11.475409836065573
10,SGN,<=1.5C,290,0.5413793103448276,15.862068965517242,13980.0,11.03448275862069,4.827586206896552,94.84827586206896,83.10344827586206,0.0
11,SGN,1.5-3C,344,0.18313953488372092,6.104651162790697,19400.0,1.4534883720930232,0.0,86.99127906976744,0.0,0.0
12,SGN,3-5C,401,0.1396508728179551,4.987531172069826,22060.0,0.24937655860349126,0.0,78.53117206982543,0.0,0.0
13,SGN,5-10C,608,0.2450657894736842,7.401315789473683,22910.0,0.4934210526315789,0.0,64.76809210526316,0.0,0.0
14,SGN,>10C,565,0.22654867256637168,5.663716814159292,28860.0,1.0619469026548671,0.0,42.98053097345133,0.0,0.0
