,Airport,_month,hours,risk_mean,risk_positive_rate_pct,risk_ge2_rate_pct,precip_mean,precip_sum,rain_rate_pct,thunderstorm_rate_pct
0,DAD,2025-12,408,0.5122549019607843,51.225490196078425,0.0,0.2676470588235294,109.2,66.91176470588235,50.98039215686274
1,DAD,2026-01,744,0.15188172043010753,15.188172043010754,0.0,0.07513440860215054,55.9,29.838709677419356,15.188172043010754
2,DAD,2026-02,672,0.18303571428571427,18.303571428571427,0.0,0.07380952380952381,49.6,27.976190476190478,18.303571428571427
3,DAD,2026-03,384,0.3541666666666667,33.33333333333333,2.083333333333333,0.25390625,97.5,54.166666666666664,33.07291666666667
4,HAN,2025-12,408,0.09313725490196079,9.313725490196079,0.0,0.04068627450980392,16.6,16.42156862745098,9.313725490196079
5,HAN,2026-01,744,0.1303763440860215,12.903225806451612,0.13440860215053765,0.06989247311827956,52.0,15.725806451612904,12.903225806451612
6,HAN,2026-02,672,0.20535714285714285,20.535714285714285,0.0,0.07678571428571429,51.6,22.470238095238095,20.535714285714285
7,HAN,2026-03,384,0.1015625,10.15625,0.0,0.04114583333333333,15.8,11.979166666666668,10.15625
8,SGN,2025-12,408,0.125,11.029411764705882,1.2254901960784315,0.09877450980392158,40.300000000000004,14.705882352941178,11.029411764705882
9,SGN,2026-01,744,0.028225806451612902,2.553763440860215,0.2688172043010753,0.03776881720430108,28.1,4.435483870967742,2.553763440860215
10,SGN,2026-02,672,0.09970238095238096,9.523809523809524,0.4464285714285714,0.10625000000000001,71.4,12.797619047619047,9.375
11,SGN,2026-03,384,0.013020833333333334,1.3020833333333335,0.0,0.05755208333333334,22.1,15.625,1.3020833333333335
