airport,P(next_bad | current_bad),P(next_bad | current_good),bad_hours,good_hours
DAD,0.7417102966841187,0.09057527539779682,573,1634
HAN,0.6752411575562701,0.05327004219409283,311,1896
SGN,0.6390977443609023,0.023143683702989394,133,2074
