Crawl_Date,Actual_Time,Flight_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Tail_Number,Aircraft_Type,Category
2025-12-22,11:24,01:46,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ822,1,11L,Landed,VN-A279,A321,passenger
2025-12-22,11:21,03:36,Delhi,DEL,SF Airlines,O3168,0,11L,Landed,B-223W,B763,cargo
2025-12-22,11:16,01:35,Da Lat,DLI,Vietnam Airlines,VN1572,1,11L,Landed,VN-A514,A20N,passenger
2025-12-22,11:12,02:53,Singapore,SIN,Singapore Airlines,SQ192,2,11L,Landed,9V-SHY,A359,passenger
2025-12-22,11:10,02:53,Taipei,TPE,China Airlines,CI791,2,11L,Landed,B-18317,A333,passenger
2025-12-22,11:06,01:46,Phu Quoc,PQC,VietJet Air,VJ442,1,11L,Landed,VN-A648,A321,passenger
2025-12-22,10:56,03:04,Shanghai,PVG,Air China,CA703,2,11L,Landed,B-8495,A321,passenger
2025-12-22,10:52,04:22,Seoul,ICN,Korean Air,KE441,2,11L,Landed,HL8590,A21N,passenger
2025-12-22,10:49,01:36,Nha Trang,CXR,VietJet Air,VJ772,1,11L,Landed,VN-A815,A333,passenger
2025-12-22,10:46,04:11,Busan,PUS,VietJet Air,VJ981,2,11L,Landed,VN-A633,A321,passenger
2025-12-22,10:39,01:46,Ho Chi Minh City,SGN,VietJet Air,VJ136,1,11L,Landed,VN-A552,A21N,passenger
2025-12-22,10:33,01:45,Ho Chi Minh City,SGN,Vietnam Airlines,VN226,1,11L,Landed,VN-A601,A321,passenger
2025-12-22,10:24,01:12,Chu Lai,VCL,Vietnam Airlines,VN1640,1,11L,Landed,VN-A325,A321,passenger
2025-12-22,10:22,01:41,Guangzhou,CAN,China Southern Airlines,CZ3049,2,11L,Landed,B-301W,A20N,passenger
2025-12-22,10:18,01:51,Can Tho,VCA,VietJet Air,VJ460,1,11L,Landed,VN-A689,A320,passenger
2025-12-22,10:15,02:48,Taipei,TPE,STARLUX,JX715,2,11L,Landed,B-58207,A21N,passenger
2025-12-22,10:08,01:44,Ho Chi Minh City,SGN,Vietnam Airlines,VN208,1,11L,Landed,VN-A896,A359,passenger
2025-12-22,10:03,02:31,Kaohsiung,KHH,Vietnam Airlines,VN587,2,11L,Landed,VN-A614,A321,passenger
2025-12-22,10:00,01:28,Buon Ma Thuot,BMV,VietJet Air,VJ492,1,11L,Landed,VN-A645,A321,passenger
2025-12-22,09:56,00:59,Da Nang,DAD,Vietravel Airlines,VU638,1,11L,Landed,VN-A129,A321,passenger
2025-12-22,09:50,02:49,Taipei,TPE,Vietnam Airlines,VN579,2,11L,Landed,VN-A396,A321,passenger
2025-12-22,09:47,01:32,Chongqing,CKG,Tianjin Air Cargo,HT3861,0,11L,Landed,B-5439,B738,cargo
2025-12-22,09:35,01:46,Ho Chi Minh City,SGN,VietJet Air,VJ148,1,11L,Landed,VN-A647,A321,passenger
2025-12-22,09:32,00:38,Vinh,VII,Vietnam Airlines,VN1716,1,11L,Landed,VN-A329,A321,passenger
2025-12-22,09:29,01:17,Pleiku,PXU,VietJet Air,VJ422,1,11L,Landed,VN-A640,A321,passenger
2025-12-22,09:21,01:23,Bangkok,BKK,Thai Airways,TG560,2,11L,Landed,HS-TXP,A320,passenger
2025-12-22,09:16,01:06,Da Nang,DAD,Vietnam Airlines,VN158,1,11L,Landed,VN-A507,A21N,passenger
2025-12-22,09:12,01:49,Ho Chi Minh City,SGN,Avion Express,VU774,1,11L,Landed,9H-MLW,A320,passenger
2025-12-22,09:09,01:03,Da Nang,DAD,VietJet Air,VJ506,1,11L,Landed,VN-A684,A321,passenger
2025-12-22,09:06,01:38,Ho Chi Minh City,SGN,Vietnam Airlines,VN240,1,11L,Landed,VN-A867,B789,passenger
