Crawl_Date,Actual_Time,Flight_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Tail_Number,Aircraft_Type,Category
2025-12-21,21:19,01:30,Siem Reap,SAI,VietJet Air,VJ914,2,11L,Landed,VN-A648,A321,passenger
2025-12-21,21:16,01:57,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ878,1,11L,Landed,VN-A282,A21N,passenger
2025-12-21,21:13,01:40,Bangkok,BKK,VietJet Air,VJ904,2,11L,Landed,VN-A677,A321,passenger
2025-12-21,21:11,02:02,Ho Chi Minh City,SGN,VietJet Air,VJ152,1,11L,Landed,VN-A500,A21N,passenger
2025-12-21,21:09,01:42,Shenzhen,SZX,China Southern Airlines,CZ8083,2,11L,Landed,B-9913,A320,passenger
2025-12-21,21:05,00:42,Dien Bien Phu,DIN,Vietnam Airlines,VN7803,1,11L,Landed,VN-A514,A20N,passenger
2025-12-21,21:03,01:12,Da Nang,DAD,Vietnam Airlines,VN7196,1,11L,Landed,VN-A399,A321,passenger
2025-12-21,20:59,01:45,Nha Trang,CXR,Vietnam Airlines,VN1560,1,11L,Landed,VN-A393,A321,passenger
2025-12-21,20:57,04:00,Hyderabad,HYD,Quikjet Cargo Airlines,QO356,0,11L,Landed,VT-BAZ,B738,cargo
2025-12-21,20:55,01:11,Da Nang,DAD,Vietnam Airlines,VN7190,1,11L,Landed,VN-A512,A21N,passenger
2025-12-21,20:51,01:43,Da Lat,DLI,VietJet Air,VJ410,1,11L,Landed,VN-A552,A21N,passenger
2025-12-21,20:49,01:13,Da Nang,DAD,Vietnam Airlines,VN188,1,11L,Landed,VN-A513,A20N,passenger
2025-12-21,20:45,01:48,Ho Chi Minh City,SGN,Vietnam Airlines,VN218,1,11L,Landed,VN-A899,A359,passenger
2025-12-21,20:43,04:22,Seoul,ICN,Vietnam Airlines,VN415,2,11L,Landed,VN-A889,A359,passenger
2025-12-21,20:40,01:06,Da Nang,DAD,Vietravel Airlines,VU658,1,11L,Landed,VN-A129,A321,passenger
2025-12-21,20:37,01:45,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ868,1,11L,Landed,VN-A280,A321,passenger
2025-12-21,20:34,01:32,Bangkok,DMK,AirAsia,FD644,2,11L,Landed,HS-EAG,A21N,passenger
2025-12-21,20:32,05:40,Tokyo,NRT,VietJet Air,VJ935,2,11L,Landed,VN-A537,A21N,passenger
2025-12-21,20:30,01:53,Phu Quoc,PQC,VietJet Air,VJ1440,1,11L,Landed,VN-A657,A321,passenger
2025-12-21,20:25,02:48,Singapore,SIN,China Cargo Airlines,CK288,0,11L,Landed,B-227G,B77L,cargo
2025-12-21,20:21,01:39,Ho Chi Minh City,SGN,Vietnam Airlines,VN254,1,11L,Landed,VN-A866,B789,passenger
2025-12-21,20:18,00:59,Da Nang,DAD,Vietnam Airlines,VN174,1,11L,Landed,VN-A507,A21N,passenger
2025-12-21,20:15,05:22,Tokyo,HND,Vietnam Airlines,VN385,2,11L,Landed,VN-A863,B789,passenger
2025-12-21,20:04,01:03,Da Nang,DAD,VietJet Air,VJ516,1,11L,Landed,VN-A661,A321,passenger
2025-12-21,19:58,01:38,Naypyidaw,NYT,Myanmar Airways International,8M450,2,11L,Landed,XY-ALO,E190,passenger
2025-12-21,19:55,01:51,Ho Chi Minh City,SGN,Bamboo Airways,QH242,1,11L,Landed,ER-00005,A320,passenger
2025-12-21,19:52,02:51,Singapore,XSP,Hai Au Aviation,HAI489,2,11L,Landed,VN-A489,FA8X,business jet
2025-12-21,19:49,00:59,Hue,HUI,Vietnam Airlines,VN1544,1,11L,Landed,VN-A611,A321,passenger
2025-12-21,19:46,01:22,Pleiku,PXU,VietJet Air,VJ424,1,11L,Landed,VN-A635,A321,passenger
2025-12-21,19:43,01:04,Da Nang,DAD,Bamboo Airways,QH148,1,11L,Landed,VN-A227,A321,passenger
2025-12-21,19:40,02:30,Taichung,RMQ,VietJet Air,VJ949,2,11L,Landed,VN-A578,A21N,passenger
2025-12-21,19:35,01:32,Bangkok,BKK,Thai Airways,TG564,2,11L,Landed,HS-TXS,A320,passenger
2025-12-21,19:33,01:49,Ho Chi Minh City,SGN,Vietravel Airlines,VU780,1,29R,Landed,VN-A289,A321,passenger
2025-12-21,19:30,04:02,Jakarta,CGK,Cathay Pacific,CX3248,0,29R,Landed,B-LIF,B744,cargo
2025-12-21,19:26,01:29,Siem Reap,SAI,Vietnam Airlines,VN836,2,N/A,Landed,VN-A606,A321,passenger
2025-12-21,19:23,01:37,Nha Trang,CXR,Vietnam Airlines,VN7566,1,11L,Landed,VN-A603,A321,passenger
2025-12-21,19:21,01:20,Qui Nhon,UIH,VietJet Air,VJ432,1,11L,Landed,VN-A689,A320,passenger
2025-12-21,19:17,06:32,Riyadh,RUH,Cargolux,CV7956,0,11L,Landed,LX-VCK,B748,cargo
2025-12-21,19:16,01:49,Chengdu,TFU,Chengdu Airlines,EU2863,2,29R,Landed,B-1071,A320,passenger
2025-12-21,19:07,01:41,Hong Kong,HKG,Hong Kong Airlines,HX528,2,11L,Landed,B-LPV,A320,passenger
2025-12-21,19:03,01:38,Ho Chi Minh City,SGN,Vietnam Airlines,VN216,1,11L,Landed,VN-A869,B789,passenger
2025-12-21,18:56,04:49,Osaka,KIX,VietJet Air,VJ931,2,11L,Landed,VN-A697,A21N,passenger
2025-12-21,18:51,05:40,Abu Dhabi,AUH,Etihad Airways,EY430,2,11L,Landed,A6-BLZ,B789,passenger
2025-12-21,18:49,01:08,Da Nang,DAD,VietJet Air,VJ512,1,11L,Landed,VN-A629,A321,passenger
2025-12-21,18:46,01:46,Ho Chi Minh City,SGN,Vietnam Airlines,VN252,1,11L,Landed,VN-A868,B789,passenger
2025-12-21,18:43,03:20,Beijing,PEK,Vietnam Airlines,VN513,2,11L,Landed,VN-A329,A321,passenger
2025-12-21,18:43,01:44,Changsha,CSX,China Southern Airlines,CZ8359,2,11L,Landed,B-32FY,A20N,passenger
2025-12-21,18:38,01:29,Buon Ma Thuot,BMV,VietJet Air,VJ1492,1,N/A,Landed,VN-A538,A21N,passenger
2025-12-21,18:35,01:46,Ho Chi Minh City,SGN,VietJet Air,VJ194,1,11L,Landed,VN-A535,A321,passenger
2025-12-21,18:32,01:45,Ho Chi Minh City,SGN,Vietnam Airlines,VN232,1,11L,Landed,VN-A877,B78X,passenger
2025-12-21,18:29,01:44,Phnom Penh,KTI,Air Cambodia,K6850,2,11L,Landed,XU-356,A320,passenger
2025-12-21,18:27,01:43,Hong Kong,HKG,Cathay Pacific,CX743,2,11L,Landed,B-HLT,A333,passenger
2025-12-21,18:23,01:34,Shenzhen,SZX,Shenzhen Airlines,ZH105,2,11L,Landed,B-1756,B738,passenger
2025-12-21,18:21,01:45,Phu Quoc,PQC,Sun PhuQuoc Airways,SPQ1216,1,11L,Landed,VN-A281,A21N,passenger
2025-12-21,18:20,01:42,Guangzhou,CAN,China Southern Airlines,CZ8177,2,11L,Landed,B-32JL,A20N,passenger
2025-12-21,18:16,06:05,Doha,DOH,Qatar Airways,QR8952,0,11L,Landed,A7-BFK,B77L,cargo
2025-12-21,18:13,01:36,Nha Trang,CXR,Vietnam Airlines,VN1558,1,29R,Landed,VN-A398,A321,passenger
2025-12-21,18:10,01:15,Da Nang,DAD,Vietnam Airlines,VN172,1,11L,Landed,VN-A625,A21N,passenger
2025-12-21,18:10,04:03,Jakarta,CGK,VietJet Air,VJ928,2,11L,Landed,VN-A668,A320,passenger
2025-12-21,18:04,01:05,Luang Prabang,LPQ,Lao Airlines,QV313,2,11L,Landed,RDPL-34225,AT76,passenger
2025-12-21,18:01,01:43,Nha Trang,CXR,Vietnam Airlines,VN7562,1,11L,Landed,VN-A614,A321,passenger
2025-12-21,17:59,01:01,Vinh,VII,Vietnam Airlines,VN1718,1,29R,Landed,VN-A501,A21N,passenger
2025-12-21,17:55,01:39,Bangkok,BKK,Vietnam Airlines,VN614,2,11L,Landed,VN-A357,A321,passenger
2025-12-21,17:52,02:38,Kaohsiung,KHH,VietJet Air,VJ947,2,11L,Landed,VN-A641,A321,passenger
2025-12-21,17:50,01:41,Qui Nhon,UIH,Bamboo Airways,QH1214,1,11L,Landed,VN-A596,A20N,passenger
2025-12-21,17:47,02:05,Phu Quoc,PQC,N/A,VN6400,1,29R,Landed,VN-A363,A321,passenger
2025-12-21,17:44,03:09,Shanghai,PVG,Vietnam Airlines,VN533,2,11L,Landed,VN-A622,A21N,passenger
2025-12-21,17:41,01:57,Ho Chi Minh City,SGN,Vietnam Airlines,VN250,1,11L,Landed,VN-A872,B78X,passenger
2025-12-21,17:38,01:57,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ854,1,11L,Landed,VN-A279,A321,passenger
2025-12-21,17:35,03:06,Singapore,SIN,VietJet Air,VJ916,2,11L,Landed,VN-A645,A321,passenger
2025-12-21,17:32,01:39,Tuy Hoa,TBB,Vietnam Airlines,VN1650,1,11L,Landed,VN-A396,A321,passenger
2025-12-21,17:29,03:12,Singapore,SIN,Singapore Airlines,SQ194,2,11L,Landed,9V-MBQ,B38M,passenger
2025-12-21,17:26,01:47,Guangzhou,CAN,Vietnam Airlines,VN507,2,11L,Landed,VN-A390,A321,passenger
2025-12-21,17:24,01:09,Da Nang,DAD,VietJet Air,VJ514,1,11L,Landed,VN-A644,A321,passenger
2025-12-21,17:21,01:52,Phu Quoc,PQC,VietJet Air,VJ446,1,11L,Landed,VN-A666,A320,passenger
2025-12-21,17:19,01:49,Ho Chi Minh City,SGN,VietJet Air,VJ134,1,11L,Landed,VN-A516,A21N,passenger
2025-12-21,17:15,02:57,Taipei,TPE,EVA Air,BR385,2,11L,Landed,B-16226,A321,passenger
2025-12-21,17:13,00:44,Luang Prabang,LPQ,AirAsia,FD1038,2,11L,Landed,HS-ABW,A320,passenger
2025-12-21,17:10,00:35,Dien Bien Phu,DIN,Vietnam Airlines,VN1805,1,11L,Landed,VN-A514,A20N,passenger
2025-12-21,17:08,03:11,Shanghai,PVG,China Eastern Airlines,MU6013,2,11L,Landed,B-32LH,A21N,passenger
2025-12-21,17:04,01:39,Ho Chi Minh City,SGN,Vietnam Airlines,VN248,1,11L,Landed,VN-A873,B78X,passenger
2025-12-21,17:01,04:39,Denpasar,DPS,VietJet Air,VJ900,2,11L,Landed,VN-A539,A21N,passenger
2025-12-21,16:57,01:48,Ho Chi Minh City,SGN,VietJet Air,VJ172,1,11L,Landed,VN-A671,A320,passenger
2025-12-21,16:57,01:25,Bangkok,BKK,VietJet Air,VJ902,2,11L,Landed,VN-A633,A321,passenger
2025-12-21,16:51,04:23,Busan,PUS,VietJet Air,VJ957,2,11L,Landed,VN-A676,A320,passenger
2025-12-21,16:38,02:01,Con Dao,VCS,VietJet Air,VJ106,1,11L,Landed,B-652G,AJ27,passenger
2025-12-21,16:35,02:50,Taipei,TPE,China Airlines,CI793,2,11L,Landed,B-18106,A21N,passenger
2025-12-21,16:32,02:12,Kolkata,CCU,IndiGo,6E1631,2,11L,Landed,VT-ISU,A20N,passenger
2025-12-21,16:24,03:04,Shanghai,PVG,Air China,CA755,2,11L,Landed,B-8585,A321,passenger
2025-12-21,16:18,01:32,Da Lat,DLI,Vietnam Airlines,VN1574,1,11L,Landed,VN-A513,A20N,passenger
2025-12-21,16:14,04:43,Hiroshima,HIJ,VietJet Air,VJ953,2,11L,Landed,VN-A675,A320,passenger
2025-12-21,16:09,01:01,Da Nang,DAD,Vietnam Airlines,VN7186,1,11L,Landed,VN-A356,A321,passenger
2025-12-21,16:04,00:54,Vientiane,VTE,Lao Airlines,QV311,2,11L,Landed,RDPL-34199,A320,passenger
2025-12-21,16:01,01:40,Ho Chi Minh City,SGN,Vietnam Airlines,VN214,1,11L,Landed,VN-A861,B789,passenger
2025-12-21,15:57,01:45,Ho Chi Minh City,SGN,Vietravel Airlines,VU770,1,11L,Landed,VN-A129,A321,passenger
2025-12-21,15:55,01:34,Nha Trang,CXR,Vietnam Airlines,VN7568,1,29R,Landed,VN-A512,A21N,passenger
2025-12-21,15:52,04:26,Busan,PUS,Vietnam Airlines,VN5429,2,11L,Landed,VN-A602,A321,passenger
2025-12-21,15:49,01:54,Can Tho,VCA,VietJet Air,VJ462,1,11L,Landed,VN-A661,A321,passenger
2025-12-21,15:46,01:46,Ho Chi Minh City,SGN,Vietnam Airlines,VN230,1,11L,Landed,VN-A878,B78X,passenger
2025-12-21,15:44,03:00,Singapore,SIN,Vietnam Airlines,VN660,2,11L,Landed,VN-A619,A21N,passenger
2025-12-21,15:41,01:25,Qui Nhon,UIH,Vietnam Airlines,VN1622,1,11L,Landed,VN-A393,A321,passenger
2025-12-21,15:37,00:43,N/A,,Hai Au Aviation,N/A,2,11L,Landed,VN-B466,C208,passenger
2025-12-21,15:32,01:37,Da Lat,DLI,VietJet Air,VJ408,1,11L,Landed,VN-A552,A21N,passenger
2025-12-21,15:30,01:47,Ho Chi Minh City,SGN,BBN Airlines Indonesia,QH224,1,11L,Landed,PK-BBK,B739,passenger
2025-12-21,15:27,01:49,Ho Chi Minh City,SGN,VietJet Air,VJ198,1,11L,Landed,VN-A542,A321,passenger
2025-12-21,15:23,01:41,Hong Kong,HKG,Vietnam Airlines,VN593,2,11L,Landed,VN-A611,A321,passenger
2025-12-21,15:19,01:45,Ho Chi Minh City,SGN,Vietnam Airlines,VN212,1,11L,Landed,VN-A865,B789,passenger
2025-12-21,15:17,01:46,Ho Chi Minh City,SGN,Avion Express,VU778,1,11L,Landed,9H-MLW,A320,passenger
2025-12-21,15:13,08:32,Istanbul,IST,Turkish Airlines,TK164,2,11L,Landed,TC-LHA,A359,passenger
2025-12-21,15:11,01:31,Da Lat,DLI,Bamboo Airways,QH1422,1,11L,Landed,VN-A227,A321,passenger
2025-12-21,15:08,01:43,Ho Chi Minh City,SGN,VietJet Air,VJ144,1,11L,Landed,VN-A817,A333,passenger
2025-12-21,15:03,00:58,Da Nang,DAD,Vietnam Airlines,VN170,1,11L,Landed,VN-A338,A321,passenger
2025-12-21,15:00,01:09,Kunming,KMG,China Eastern Airlines,MU9605,2,11L,Landed,B-6249,B738,passenger
2025-12-21,14:59,02:56,Kuala Lumpur,KUL,AirAsia,AK512,2,11L,Landed,9M-RAA,A320,passenger
2025-12-21,14:54,01:57,Ho Chi Minh City,SGN,VietJet Air,VJ138,1,11L,Landed,VN-A647,A321,passenger
2025-12-21,14:51,02:42,Fuzhou,FOC,Xiamen Air,MF8697,2,11L,Landed,B-5499,B738,passenger
2025-12-21,14:49,01:49,Da Lat,DLI,VietJet Air,VJ404,1,11L,Landed,VN-A689,A320,passenger
2025-12-21,14:46,01:35,Shenzhen,SZX,China Southern Airlines,CZ8469,2,11L,Landed,B-6912,A321,passenger
2025-12-21,14:43,01:58,Phu Quoc,PQC,Sun PhuQuoc Airways,SPQ1208,1,11L,Landed,VN-A280,A321,passenger
2025-12-21,14:41,03:04,Taipei,TPE,VietJet Air,VJ941,2,11L,Landed,VN-A629,A321,passenger
2025-12-21,14:37,01:16,Chiang Mai,CNX,AirAsia,FD870,2,11L,Landed,HS-ABS,A320,passenger
2025-12-21,14:35,02:50,Kuala Lumpur,KUL,VietJet Air,VJ906,2,11L,Landed,VN-A677,A321,passenger
2025-12-21,14:33,02:24,Xiamen,XMN,Xiamen Air,MF869,2,29R,Landed,B-6490,B738,passenger
2025-12-21,14:30,01:43,Bangkok,BKK,Vietnam Airlines,VN610,2,11L,Landed,VN-A616,A21N,passenger
2025-12-21,14:28,01:44,Nha Trang,CXR,VietJet Air,VJ770,1,11L,Landed,VN-A657,A321,passenger
2025-12-21,14:25,01:38,Guangzhou,CAN,China Southern Airlines,CZ8315,2,11L,Landed,B-6776,A320,passenger
2025-12-21,14:21,01:46,Ho Chi Minh City,SGN,Vietnam Airlines,VN246,1,11L,Landed,VN-A866,B789,passenger
2025-12-21,14:19,01:38,Nha Trang,CXR,Vietnam Airlines,VN1552,1,29R,Landed,VN-A507,A21N,passenger
2025-12-21,14:16,01:05,Da Nang,DAD,Vietnam Airlines,VN166,1,11L,Landed,VN-A603,A321,passenger
2025-12-21,14:13,04:48,Seoul,ICN,VietJet Air,VJ961,2,11L,Landed,VN-A648,A321,passenger
2025-12-21,14:10,01:46,Hong Kong,HKG,Atlas Air,5Y8522,0,11L,Landed,N499MC,B744,cargo
2025-12-21,14:07,06:04,Tokyo,NRT,Vietnam Airlines,VN311,2,11L,Landed,VN-A899,A359,passenger
2025-12-21,14:03,06:05,Tokyo,NRT,VietJet Air,VJ933,2,11L,Landed,VN-A816,A333,passenger
2025-12-21,13:59,01:00,Da Nang,DAD,VietJet Air,VJ508,1,11L,Landed,VN-A635,A321,passenger
2025-12-21,13:52,01:46,Ho Chi Minh City,SGN,VietJet Air,VJ188,1,11L,Landed,VN-A656,A320,passenger
2025-12-21,13:49,02:10,Dhaka,DAC,Ethiopian Airlines,ET678,2,11L,Landed,ET-ATJ,B788,passenger
2025-12-21,13:46,01:50,Ho Chi Minh City,SGN,Bamboo Airways,QH240,1,11L,Landed,ER-00005,A320,passenger
2025-12-21,13:42,04:35,Seoul,ICN,Vietnam Airlines,VN417,2,11L,Landed,VN-A886,A359,passenger
2025-12-21,13:39,01:38,Nha Trang,CXR,VietJet Air,VJ780,1,11L,Landed,VN-A544,A321,passenger
2025-12-21,13:36,03:14,Shanghai,PVG,China Eastern Airlines,MU6011,2,11L,Landed,B-1640,A321,passenger
2025-12-21,13:33,04:50,Seoul,ICN,Air Zeta,KJ389,0,11L,Landed,HL7507,B763,cargo
2025-12-21,13:30,05:33,Dubai,DXB,Emirates,EK394,2,11L,Landed,A6-ENB,B77W,passenger
2025-12-21,13:28,04:51,Osaka,KIX,Vietnam Airlines,VN5337,2,11L,Landed,VN-A501,A21N,passenger
2025-12-21,13:23,01:35,Shenzhen,SZX,Shenzhen Airlines,ZH103,2,11L,Landed,B-6855,A320,passenger
2025-12-21,13:19,05:03,Osaka,KIX,Vietnam Airlines,VN335,2,29R,Landed,VN-A606,A321,passenger
2025-12-21,13:15,01:03,Hue,HUI,VietJet Air,VJ566,1,11R,Landed,VN-A644,A321,passenger
2025-12-21,13:11,01:45,Ho Chi Minh City,SGN,Vietnam Airlines,VN210,1,11L,Landed,VN-A869,B789,passenger
2025-12-21,13:07,05:00,Osaka,KIX,VietJet Air,VJ939,2,11L,Landed,VN-A528,A21N,passenger
2025-12-21,13:04,00:47,Dong Hoi,VDH,Vietnam Airlines,VN1590,1,11L,Landed,VN-A514,A20N,passenger
2025-12-21,13:02,01:46,Phu Quoc,PQC,VietJet Air,VJ440,1,11L,Landed,VN-A655,A320,passenger
2025-12-21,13:00,02:52,Kuala Lumpur,KUL,Batik Air,OD571,2,11L,Landed,9M-LRK,B38M,passenger
2025-12-21,12:56,05:14,Nagoya,NGO,Vietnam Airlines,VN349,2,11L,Landed,VN-A625,A21N,passenger
2025-12-21,12:53,04:17,Busan,PUS,Vietnam Airlines,VN429,2,11L,Landed,VN-A398,A321,passenger
2025-12-21,12:50,05:56,Doha,DOH,Qatar Airways,QR976,2,11L,Landed,A7-BHP,B789,passenger
2025-12-21,12:47,03:38,Delhi,DEL,IndiGo,6E1633,2,11L,Landed,VT-IQU,A20N,passenger
2025-12-21,12:44,05:08,Nagoya,NGO,VietJet Air,VJ921,2,11L,Landed,VN-A538,A21N,passenger
2025-12-21,12:35,05:37,Dubai,DWC,Emirates,EK9852,0,11L,Landed,A6-EFW,B77L,cargo
2025-12-21,12:29,01:42,Phu Quoc,PQC,Sun PhuQuoc Airways,SPQ1202,1,11L,Landed,VN-A281,A21N,passenger
2025-12-21,12:26,05:06,Vladivostok,VVO,VietJet Air,VJ3522,2,11L,Landed,VN-A549,A21N,passenger
2025-12-21,12:23,01:39,Ho Chi Minh City,SGN,Vietnam Airlines,VN244,1,11L,Landed,VN-A868,B789,passenger
2025-12-21,12:20,01:46,Guangzhou,CAN,Shenzhen Airlines,ZH121,2,11L,Landed,B-1712,B738,passenger
2025-12-21,12:17,04:16,Seoul,ICN,Kalitta Air,K4602,0,29R,Landed,N741CK,B744,cargo
2025-12-21,12:15,01:42,Phu Quoc,PQC,Vietnam Airlines,VN1236,1,11L,Landed,VN-A396,A321,passenger
2025-12-21,12:12,04:33,Seoul,ICN,Asiana Airlines,OZ729,2,11L,Landed,HL8079,A359,passenger
2025-12-21,12:08,04:30,Fukuoka,FUK,Vietnam Airlines,VN359,2,11L,Landed,VN-A614,A321,passenger
2025-12-21,12:00,02:55,Kuala Lumpur,KUL,Malaysia Airlines,MH752,2,11L,Landed,9M-MLO,B738,passenger
2025-12-21,11:55,04:33,Fukuoka,FUK,VietJet Air,VJ959,2,11L,Landed,VN-A578,A21N,passenger
2025-12-21,11:50,01:44,Ho Chi Minh City,SGN,VietJet Air,VJ124,1,11L,Landed,VN-A811,A333,passenger
2025-12-21,11:50,01:08,Da Nang,DAD,N/A,VN6080,1,11L,Landed,VN-A363,A321,passenger
2025-12-21,11:44,02:55,Singapore,SIN,Singapore Airlines,SQ192,2,11L,Landed,9V-SHL,A359,passenger
2025-12-21,11:40,01:47,Can Tho,VCA,Vietnam Airlines,VN1200,1,11L,Landed,VN-A390,A321,passenger
2025-12-21,11:37,01:28,Bangkok,DMK,AirAsia,FD640,2,11L,Landed,HS-BBA,A320,passenger
2025-12-21,11:34,03:22,Beijing,PEK,Air China,CA741,2,11L,Landed,B-326D,A21N,passenger
2025-12-21,11:29,02:42,Taipei,TPE,EVA Air,BR397,2,11L,Landed,B-16732,B77W,passenger
2025-12-21,11:26,01:40,Ho Chi Minh City,SGN,VietJet Air,VJ132,1,11L,Landed,VN-A698,A321,passenger
2025-12-21,11:19,01:41,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ822,1,11L,Landed,VN-A279,A321,passenger
2025-12-21,11:10,03:11,Shanghai,PVG,Air China,CA703,2,11L,Landed,B-8495,A321,passenger
2025-12-21,11:06,01:31,Da Lat,DLI,Vietnam Airlines,VN1572,1,11L,Landed,VN-A513,A20N,passenger
2025-12-21,11:02,01:27,Buon Ma Thuot,BMV,Vietnam Airlines,VN1602,1,11L,Landed,VN-A393,A321,passenger
2025-12-21,10:56,01:13,Pleiku,PXU,Vietnam Airlines,VN1614,1,11L,Landed,VN-A338,A321,passenger
2025-12-21,10:53,04:23,Busan,PUS,VietJet Air,VJ981,2,11L,Landed,VN-A641,A321,passenger
