Crawl_Date,Actual_Time,Flight_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Tail_Number,Aircraft_Type,Category
2025-12-21,23:58,01:29,Bangkok,BKK,Vietnam Airlines,VN616,2,11L,Landed,VN-A357,A321,passenger
2025-12-21,23:55,04:25,Seoul,ICN,Jeju Air,7C2201,2,11L,Landed,HL8523,B38M,passenger
2025-12-21,23:53,00:56,Hue,HUI,Vietnam Airlines,VN1548,1,11L,Landed,VN-A611,A321,passenger
2025-12-21,23:42,01:47,Ho Chi Minh City,SGN,VietJet Air,VJ160,1,11L,Landed,VN-A633,A321,passenger
2025-12-21,23:38,01:39,Ho Chi Minh City,SGN,Vietnam Airlines,VN260,1,11L,Landed,VN-A872,B78X,passenger
2025-12-21,23:35,01:42,Ho Chi Minh City,SGN,Bamboo Airways,QH286,1,11L,Landed,VN-A596,A20N,passenger
2025-12-21,23:27,04:29,Irkutsk,IKT,IrAero,IO893,2,11L,Landed,RA-89077,SU95,passenger
2025-12-21,23:22,01:42,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ882,1,11L,Landed,VN-A279,A321,passenger
2025-12-21,23:13,02:45,Kuala Lumpur,KUL,Vietnam Airlines,VN680,2,11L,Landed,VN-A616,A21N,passenger
2025-12-21,23:10,05:52,Tokyo,NRT,All Nippon Airways,NH897,2,11L,Landed,JA876A,B789,passenger
2025-12-21,23:08,01:56,Can Tho,VCA,VietJet Air,VJ464,1,11L,Landed,VN-A644,A321,passenger
2025-12-21,23:04,01:42,Ho Chi Minh City,SGN,Vietravel Airlines,VU794,1,11L,Landed,VN-A136,A320,passenger
2025-12-21,23:00,01:48,Ho Chi Minh City,SGN,Bamboo Airways,QH268,1,11L,Landed,VN-A585,A321,passenger
2025-12-21,22:58,01:33,Guangzhou,CAN,China Southern Airlines,CZ371,2,11L,Landed,B-6282,A320,passenger
2025-12-21,22:55,00:59,Da Nang,DAD,VietJet Air,VJ518,1,11L,Landed,VN-A538,A21N,passenger
2025-12-21,22:49,02:41,Singapore,SIN,China Airlines,CI6876,0,11L,Landed,B-18719,B744,cargo
2025-12-21,22:43,01:46,Ho Chi Minh City,SGN,VietJet Air,VJ180,1,11L,Landed,VN-A811,A333,passenger
2025-12-21,22:40,01:40,Ho Chi Minh City,SGN,Vietnam Airlines,VN256,1,11L,Landed,VN-A861,B789,passenger
2025-12-21,22:37,01:00,Hue,HUI,VietJet Air,VJ568,1,11L,Landed,VN-A645,A321,passenger
2025-12-21,22:34,01:26,Macau,MFM,Air Macau,NX982,2,11L,Landed,B-MBT,A21N,passenger
2025-12-21,22:31,05:50,Tokyo,NRT,Japan Airlines,JL751,2,11L,Landed,JA616J,B763,passenger
2025-12-21,22:28,01:42,Ho Chi Minh City,SGN,Vietnam Airlines,VN262,1,11L,Landed,VN-A353,A321,passenger
2025-12-21,22:18,04:17,Seoul,ICN,Asiana Airlines,OZ733,2,11L,Landed,HL8362,A359,passenger
2025-12-21,22:14,01:40,Ho Chi Minh City,SGN,Vietnam Airlines,VN258,1,11L,Landed,VN-A878,B78X,passenger
2025-12-21,22:10,01:41,Ho Chi Minh City,SGN,Vietnam Airlines,VN220,1,11L,Landed,VN-A862,B789,passenger
2025-12-21,22:08,01:59,Can Tho,VCA,Vietnam Airlines,VN1206,1,11L,Landed,VN-A602,A321,passenger
2025-12-21,22:05,01:53,Ho Chi Minh City,SGN,BBN Airlines Indonesia,QH262,1,11L,Landed,PK-BBK,B739,passenger
2025-12-21,22:02,01:41,Phnom Penh,KTI,Vietnam Airlines,VN922,2,11L,Landed,VN-A356,A321,passenger
2025-12-21,22:00,05:50,Tashkent,TAS,Turkish Airlines,TK6372,0,11L,Landed,TC-JOY,A332,cargo
2025-12-21,21:57,01:47,Chengdu,TFU,Sichuan Airlines,3U3905,2,11L,Landed,B-6323,A320,passenger
2025-12-21,21:53,01:02,Da Nang,DAD,N/A,VN6070,1,11L,Landed,VN-A363,A321,passenger
2025-12-21,21:51,02:22,Kolkata,CCU,IndiGo,6E8961,0,11L,Landed,VT-IKW,A321,cargo
2025-12-21,21:48,01:50,Ho Chi Minh City,SGN,VietJet Air,VJ196,1,11L,Landed,VN-A817,A333,passenger
2025-12-21,21:45,00:55,Vientiane,VTE,Vietnam Airlines,VN920,2,11L,Landed,VN-A608,A321,passenger
2025-12-21,21:43,02:56,Taipei,TPE,VietJet Air,VJ943,2,11L,Landed,VN-A544,A321,passenger
2025-12-21,21:40,02:23,Guwahati,GAU,Drukair,KB604,2,11L,Landed,A5-RGF,A319,passenger
2025-12-21,21:37,01:43,Nha Trang,CXR,Vietnam Airlines,VN1562,1,11L,Landed,VN-A619,A21N,passenger
2025-12-21,21:34,04:19,Seoul,ICN,Korean Air,KE447,2,11L,Landed,HL8538,B78X,passenger
2025-12-21,21:30,01:26,Bangkok,BKK,FedEx,FX9125,0,11L,Landed,N112FE,B763,cargo
2025-12-21,21:27,01:30,Bangkok,BKK,Vietnam Airlines,VN618,2,11L,Landed,VN-A338,A321,passenger
2025-12-21,21:24,04:35,Denpasar,DPS,VietJet Air,VJ998,2,11L,Landed,VN-A674,A21N,passenger
2025-12-21,21:22,01:47,Hong Kong,HKG,HK express,UO542,2,11L,Landed,B-KKL,A21N,passenger
