Route,Dep_Index,Arr_Index,Flight_No_Dep,Flight_No_Arr,Scheduled_Tail,Actual_Tail,Gap_Hours,Is_Aircraft_Swapped
SGN->DAD,34433,11674,VJ624,VJ624,VN-A536,VN-A536,1.0167,False
SGN->DAD,34447,11672,VN112,VN112,VN-A501,VN-A501,1.0333,False
SGN->DAD,34454,11666,VJ622,VJ622,VN-A526,VN-A526,1.0667,False
SGN->DAD,34471,11665,VN110,VN110,VN-A505,VN-A505,0.9667,False
SGN->DAD,34481,11662,VJ620,VJ620,VN-A699,VN-A699,1.2,False
SGN->DAD,34483,11661,QH150,QH150,JU-1410,JU-1410,1.1,False
SGN->DAD,34493,11658,VN106,VN106,VN-A604,VN-A604,1.0667,False
SGN->DAD,34531,11650,VJ642,VJ642,VN-A673,VN-A673,1.0833,False
SGN->DAD,34541,11651,VJ636,VJ636,VN-A526,VN-A526,1.0333,False
SGN->DAD,34546,11926,VJ644,VJ644,VN-A669,VN-A669,0.9167,False
SGN->DAD,34558,11919,VJ640,VJ640,VN-A673,VN-A673,1.0,False
SGN->DAD,34569,11914,VN148,VN148,VN-A606,VN-A606,1.05,False
SGN->DAD,34577,11912,VJ646,VJ646,LY-NVE,LY-NVE,1.0833,False
SGN->DAD,34583,11888,VN7138,VN7138,9H-MLO,9H-MLO,1.0,False
SGN->DAD,34586,11908,VN146,VN146,VN-A324,VN-A324,1.05,False
SGN->DAD,34607,11895,VN142,VN142,VN-A503,VN-A503,0.95,False
SGN->DAD,34614,11891,VJ648,VJ648,VN-A670,VN-A670,1.0333,False
SGN->DAD,34616,11890,VU684,VU684,9H-MLW,9H-MLW,1.0167,False
SGN->DAD,34649,11885,VN140,VN140,VN-A605,VN-A605,1.0333,False
SGN->DAD,34664,11880,VN136,VN136,VN-A610,VN-A610,1.1,False
SGN->DAD,34674,11874,VJ638,VJ638,VN-A642,VN-A642,1.0333,False
SGN->DAD,34679,11871,VN134,VN134,VN-A396,VN-A396,1.0167,False
SGN->DAD,34693,11862,VJ632,VJ632,VN-A522,VN-A522,1.0,False
SGN->DAD,34695,11866,9G972,9G972,VN-A282,VN-A282,0.9833,False
SGN->DAD,34701,11858,VJ630,VJ630,VN-A524,VN-A524,1.0667,False
SGN->DAD,34710,11859,VN132,VN132,VN-A397,VN-A397,1.0167,False
SGN->DAD,34735,11854,VN6036,VN6036,VN-A359,VN-A359,1.1333,False
SGN->DAD,34740,11845,VJ634,VJ634,VN-A657,VN-A657,1.1333,False
SGN->DAD,34742,11843,VN126,VN126,9H-MLO,9H-MLO,1.0333,False
SGN->DAD,34775,11836,9G964,9G964,VN-A906,VN-A906,1.1167,False
SGN->DAD,34776,11825,VJ628,VJ628,VN-A645,VN-A645,1.0833,False
SGN->DAD,34783,11831,VN122,VN122,VN-A327,VN-A327,1.0333,False
SGN->DAD,34786,11829,QH154,QH154,VN-A227,VN-A227,1.0833,False
SGN->DAD,34787,11827,VN7122,VN7122,VN-A515,VN-A515,1.0667,False
SGN->DAD,34793,11826,9G962,9G962,VN-A282,VN-A282,1.0333,False
SGN->DAD,34795,11820,VJ626,VJ626,VN-A524,VN-A524,1.0167,False
SGN->DAD,34807,11817,VU672,VU672,VN-A136,VN-A136,1.05,False
SGN->DAD,34808,11818,VN118,VN118,VN-A397,VN-A397,1.0,False
SGN->DAD,34817,11812,VJ624,VJ624,VN-A549,VN-A549,1.0,False
SGN->DAD,34835,11811,VN112,VN112,VN-A619,VN-A619,1.0833,False
SGN->DAD,34841,11806,VJ622,VJ622,VN-A672,VN-A672,1.05,False
SGN->DAD,34853,11804,VN110,VN110,9H-MLO,9H-MLO,1.3333,False
SGN->DAD,34866,11803,VJ620,VJ620,VN-A673,VN-A673,1.0667,False
SGN->DAD,34872,11801,QH150,QH150,JU-1410,JU-1410,1.0333,False
SGN->DAD,34881,11798,VN106,VN106,VN-A615,VN-A615,1.0333,False
SGN->DAD,34924,12070,VJ636,VJ636,VN-A522,VN-A522,1.0,False
SGN->DAD,34946,12056,VN148,VN148,VN-A605,VN-A605,1.1333,False
SGN->DAD,34953,12054,VJ646,VJ646,LY-MLI,LY-MLI,1.2,False
SGN->DAD,34956,12051,VN146,VN146,VN-A606,VN-A606,1.0833,False
SGN->DAD,34989,12040,VN142,VN142,VN-A617,VN-A617,1.3833,False
SGN->DAD,34992,12036,VJ648,VJ648,VN-A554,VN-A554,1.1167,False
SGN->DAD,35012,12033,VU684,VU684,9H-MLW,9H-MLW,1.0667,False
SGN->DAD,35018,12031,VN7138,VN7138,VN-A332,VN-A332,0.9667,False
SGN->DAD,35027,11968,QH154,QH154,VN-A227,VN-A227,1.4167,False
SGN->DAD,35034,12028,VN140,VN140,VN-A605,VN-A605,1.0333,False
SGN->DAD,35042,12021,VN136,VN136,VN-A606,VN-A606,1.0167,False
SGN->DAD,35055,12017,VJ638,VJ638,VN-A698,VN-A698,1.0833,False
SGN->DAD,35064,12015,VN134,VN134,VN-A326,VN-A326,1.2333,False
SGN->DAD,35065,12003,VJ632,VJ632,VN-A542,VN-A542,1.1,False
SGN->DAD,35067,12004,VN132,VN132,VN-A395,VN-A395,1.0,False
