Route,Dep_Index,Arr_Index,Flight_No,Dep_Tail_Before,Arr_Tail_After,Dep_AC_Before,Arr_AC_After,Gap_Hours
SGN->DAD,26956,9140,VJ642,VN-A637,VN-A667,A321,A321,1.0167
SGN->DAD,27420,9158,VN7110,VN-A358,VN-A616,A321,A21N,1.6167
SGN->DAD,27426,9154,VJ1630,VN-A641,VN-A647,A321,A321,2.3833
SGN->DAD,27436,9155,VN7106,VN-A356,VN-A618,A321,A21N,2.4
SGN->DAD,27437,9300,VJ644,VN-A685,VN-A632,A321,A321,1.0333
SGN->DAD,27441,9156,VN7104,VN-A611,VN-A608,A321,A321,1.0667
SGN->DAD,27451,9150,VN7102,VN-A326,VN-A392,A321,A321,0.3833
SGN->DAD,27455,9295,VJ1622,VN-A668,VN-A656,A320,A320,0.75
SGN->DAD,27940,9313,VN7110,VN-A614,VN-A358,A321,A321,1.15
SGN->DAD,27944,9311,VN7106,VN-A610,VN-A356,A321,A321,0.3833
SGN->DAD,27971,9307,VN7102,VN-A323,VN-A326,A321,A321,0.8333
SGN->DAD,27996,9457,VJ644,VN-A632,VN-A553,A321,A21N,1.0667
SGN->DAD,27997,9756,VN7120,VN-A604,VN-A617,A321,A21N,0.5667
SGN->DAD,28455,9473,VN7108,VN-A335,VN-A356,A321,A321,1.2833
SGN->DAD,28483,9470,VN7106,VN-A603,VN-A610,A321,A321,1.7667
SGN->DAD,28486,9471,VN7104,VN-A625,VN-A603,A21N,A321,2.9333
SGN->DAD,28504,9468,VN7146,VN-A508,VN-A390,A21N,A321,1.75
SGN->DAD,28509,9610,VN7118,VN-A325,VN-A618,A321,A21N,1.0333
SGN->DAD,28517,9466,VN7102,VN-A622,VN-A323,A21N,A321,2.1167
SGN->DAD,28521,9605,VJ642,VN-A632,VN-A522,A321,A321,0.9667
SGN->DAD,28539,9907,VN7120,VN-A606,VN-A604,A321,A321,1.1333
SGN->DAD,28988,9623,VN7108,VN-A501,VN-A335,A21N,A321,1.0333
